PDGID,PYTHIAID
-2000002,-2000002
2000003,2000003
-2000003,-2000003
2000004,2000004
-2000004,-2000004
2000005,2000005
-2000005,-2000005
2000006,2000006
-2000006,-2000006
2000011,2000011
-2000011,-2000011
2000012,2000012
-2000012,-2000012
2000013,2000013
-2000013,-2000013
2000014,2000014
-2000014,-2000014
2000015,2000015
-2000015,-2000015
2000016,2000016
-2000016,-2000016
3000111,3000111
3000113,3000113
3000211,3000211
-3000211,-3000211
3000213,3000213
-3000213,-3000213
3000221,3000221
3000223,3000223
3000331,3000331
3100021,3100021
3100111,3100111
3100113,3100113
3200111,3200111
3200113,3200113
3300113,3300113
3400113,3400113
4000001,4000001
-4000001,-4000001
4000002,4000002
-4000002,-4000002
4000011,4000011
-4000011,-4000011
4000012,4000012
-4000012,-4000012
5000039,5000039
9900012,9900012
9900014,9900014
9900016,9900016
9900023,9900023
9900024,9900024
-9900024,-9900024
9900041,9900041
-9900041,-9900041
9900042,9900042
-9900042,-9900042
