ID,Mass,MassUpper,MassLower,Width,WidthUpper,WidthLower,I,G,P,C,Anti,Charge,Rank,Status,Name,Quarks,Latex
319,2045,9,9,198,30,30,1/2,5,1,5,1,0,0,0,K(4)*(2045),dS,K_{4}^{*}(2045)^{0}
-319,2045,9,9,198,30,30,1/2,5,1,5,1,0,0,0,K(4)*(2045),Ds,\bar{K}_{4}^{*}(2045)^{0}
321,493.677,0.016,0.016,5.352e-14,9e-17,9e-17,1/2,5,-1,5,2,3,0,0,K,uS,K^{+}
-321,493.677,0.016,0.016,5.352e-14,9e-17,9e-17,1/2,5,-1,5,2,-3,0,0,K,Us,K^{-}
323,891.66,0.26,0.26,50.8,0.9,0.9,1/2,5,-1,5,1,3,0,0,K*(892),uS,K^{*}(892)^{+}
-323,891.66,0.26,0.26,50.8,0.9,0.9,1/2,5,-1,5,1,-3,0,0,K*(892),Us,\bar{K}^{*}(892)^{-}
325,1425.6,1.5,1.5,98.5,2.7,2.7,1/2,5,1,5,1,3,0,0,K(2)*(1430),uS,K_{2}^{*}(1430)^{+}
-325,1425.6,1.5,1.5,98.5,2.7,2.7,1/2,5,1,5,1,-3,0,0,K(2)*(1430),Us,\bar{K}_{2}^{*}(1430)^{-}
327,1776,7,7,159,21,21,1/2,5,-1,5,1,3,0,0,K(3)*(1780),uS,K_{3}^{*}(1780)^{+}
-327,1776,7,7,159,21,21,1/2,5,-1,5,1,-3,0,0,K(3)*(1780),Us,\bar{K}_{3}^{*}(1780)^{-}
329,2045,9,9,198,30,30,1/2,5,1,5,1,3,0,0,K(4)*(2045),uS,K_{4}^{*}(2045)^{+}
-329,2045,9,9,198,30,30,1/2,5,1,5,1,-3,0,0,K(4)*(2045),Us,\bar{K}_{4}^{*}(2045)^{-}
331,957.66,0.24,0.24,0.205,0.015,0.015,0,1,-1,1,0,0,0,0,eta'(958),x(uU+dD)+y(sS),\eta^\prime(958)
333,1019.455,0.02,0.02,4.26,0.04,0.04,0,-1,-1,-1,0,0,0,0,phi(1020),x(uU+dD)+y(sS),\phi(1020)
335,1525,5,5,73,6,5,0,1,1,1,0,0,0,0,f(2)'(1525),x(uU+dD)+y(sS),f_{2}^\prime(1525)
337,1854,7,7,87,28,23,0,-1,-1,-1,0,0,0,0,phi(3)(1850),x(uU+dD)+y(sS),\phi_{3}(1850)
411,1869.62,0.2,0.2,6.37e-10,4e-12,4e-12,1/2,5,-1,5,2,3,0,0,D,cD,D^{+}
-411,1869.62,0.2,0.2,6.37e-10,4e-12,4e-12,1/2,5,-1,5,2,-3,0,0,D,Cd,D^{-}
413,2010.27,0.17,0.17,0.096,0.022,0.022,1/2,5,-1,5,2,3,0,0,D*(2010),cD,D^{*}(2010)^{+}
-413,2010.27,0.17,0.17,0.096,0.022,0.022,1/2,5,-1,5,2,-3,0,0,D*(2010),Cd,D^{*}(2010)^{-}
415,2460.1,2.6,3.5,37,6,6,1/2,5,1,5,2,3,0,0,D(2)*(2460),cD,D_{2}^{*}(2460)^{+}
-415,2460.1,2.6,3.5,37,6,6,1/2,5,1,5,2,-3,0,0,D(2)*(2460),Cd,D_{2}^{*}(2460)^{-}
421,1864.84,0.17,0.17,1.616e-09,6e-12,6e-12,1/2,5,-1,5,1,0,0,0,D,cU,D^{0}
-421,1864.84,0.17,0.17,1.616e-09,6e-12,6e-12,1/2,5,-1,5,1,0,0,0,D,Cu,\bar{D}^{0}
423,2006.97,0.19,0.19,2.1,-1,1,1/2,5,-1,5,1,0,0,0,D*(2007),cU,D^{*}(2007)^{0}
-423,2006.97,0.19,0.19,2.1,-1,1,1/2,5,-1,5,1,0,0,0,D*(2007),Cu,\bar{D}^{*}(2007)^{0}
425,2461.1,1.6,1.6,43,4,4,1/2,5,1,5,1,0,0,0,D(2)*(2460),cU,D_{2}^{*}(2460)^{0}
-425,2461.1,1.6,1.6,43,4,4,1/2,5,1,5,1,0,0,0,D(2)*(2460),Cu,\bar{D}_{2}^{*}(2460)^{0}
431,1968.49,0.34,0.34,1.325e-09,1.9e-11,1.9e-11,0,5,-1,5,2,3,0,0,D(s),cS,D_{s}^{+}
-431,1968.49,0.34,0.34,1.325e-09,1.9e-11,1.9e-11,0,5,-1,5,2,-3,0,0,D(s),Cs,D_{s}^{-}
433,2112.3,0.5,0.5,-1,-1,1,0,5,5,5,2,3,0,0,D(s)*,cS,D_{s}^{*+}
-433,2112.3,0.5,0.5,-1,-1,1,0,5,5,5,2,-3,0,0,D(s)*,Cs,D_{s}^{*-}
435,2572.6,0.9,0.9,20,5,5,0,5,5,5,2,3,0,0,D(s2)(2573),cS,D_{s2}^{*+}
-435,2572.6,0.9,0.9,20,5,5,0,5,5,5,2,-3,0,0,D(s2)(2573),Cs,D_{s2}^{*-}
441,2980.3,1.2,1.2,26.7,3,3,0,1,-1,1,0,0,0,0,eta(c)(1S),cC,\eta_{c}(1S)
443,3096.916,0.011,0.011,0.0932,0.0021,0.0021,0,-1,-1,-1,0,0,0,0,J/psi(1S),cC,J/\psi(1S)
445,3556.2,0.09,0.09,2.03,0.12,0.12,0,1,1,1,0,0,0,0,chi(c2)(1P),cC,\chi_{c2}(1P)
511,5279.53,0.33,0.33,4.331e-10,2.5e-12,2.5e-12,1/2,5,-1,5,1,0,0,0,B,dB,B^{0}
-511,5279.53,0.33,0.33,4.331e-10,2.5e-12,2.5e-12,1/2,5,-1,5,1,0,0,0,B,Db,\bar{B}^{0}
513,5325.1,0.5,0.5,-1,-1,1,1/2,5,-1,5,1,0,0,0,B*,dB,B^{*0}
-513,5325.1,0.5,0.5,-1,-1,1,1/2,5,-1,5,1,0,0,0,B*,Db,\bar{B}^{*0}
515,5746.9,2.9,2.9,-1,-1,1,1/2,5,1,5,1,0,3,0,B(2)*(5747),dB,B_{2}^{*}(5747)^{0}
-515,5746.9,2.9,2.9,-1,-1,1,1/2,5,1,5,1,0,3,0,B(2)*(5747),Db,\bar{B}_{2}^{*}(5747)^{0}
521,5279.15,0.31,0.31,4.045e-10,2.7e-12,2.7e-12,1/2,5,-1,5,2,3,0,0,B,uB,B^{+}
-521,5279.15,0.31,0.31,4.045e-10,2.7e-12,2.7e-12,1/2,5,-1,5,2,-3,0,0,B,Ub,B^{-}
523,5325.1,0.5,0.5,-1,-1,1,1/2,5,-1,5,1,3,0,0,B*,uB,B^{*+}
-523,5325.1,0.5,0.5,-1,-1,1,1/2,5,-1,5,1,-3,0,0,B*,Ub,\bar{B}^{*-}
525,5746.9,2.9,2.9,-1,-1,1,1/2,5,1,5,1,3,3,0,B(2)*(5747),uB,B_{2}^{*}(5747)^{+}
-525,5746.9,2.9,2.9,-1,-1,1,1/2,5,1,5,1,-3,3,0,B(2)*(5747),Ub,\bar{B}_{2}^{*}(5747)^{-}
531,5366.3,0.6,0.6,4.65e-10,1.3e-11,1.3e-11,0,5,-1,5,1,0,0,0,B(s),sB,B_{s}^{0}
-531,5366.3,0.6,0.6,4.65e-10,1.3e-11,1.3e-11,0,5,-1,5,1,0,0,0,B(s),Sb,\bar{B}_{s}^{0}
533,5412.8,1.3,1.3,-1,-1,1,0,5,-1,5,1,0,0,0,B(s)*,sB,B_{s}^{*0}
-533,5412.8,1.3,1.3,-1,-1,1,0,5,-1,5,1,0,0,0,B(s)*,Sb,\bar{B}_{s}^{*0}
535,5839.7,0.6,0.6,-1,-1,1,1/2,5,1,5,1,0,3,0,B(s2)*(5840),sB,B_{s2}^{*}(5840)^{0}
-535,5839.7,0.6,0.6,-1,-1,1,1/2,5,1,5,1,0,3,0,B(s2)*(5840),Sb,\bar{B}_{s2}^{*}(5840)^{0}
541,6276,4,4,1.43e-09,2.3e-10,2.1e-10,0,5,-1,5,2,3,0,0,B(c),cB,B_{c}^{+}
-541,6276,4,4,1.43e-09,2.3e-10,2.1e-10,0,5,-1,5,2,-3,0,0,B(c),Cb,B_{c}^{-}
551,9300,28,28,-1,-1,1,0,1,-1,1,0,0,0,2,eta(b)(1S),bB,\eta_{b}(1S)
553,9460.3,0.26,0.26,0.054,0.0012,0.0012,0,-1,-1,-1,0,0,0,0,Upsilon(1S),bB,\Upsilon(1S)
555,9912.2,0.4,0.4,-1,-1,1,0,1,1,1,0,0,0,0,chi(b2)(1P),bB,\chi_{b2}(1P)
1112,1630,30,30,145,5,10,3/2,5,-1,5,1,-3,4,0,Delta(1620)(S31),ddd,\Delta(1620)^{-}
