pdgid,particle
20313,K_{1}(1400)^{0}
20315,K_{2}(1820)^{0}
20323,K_{1}(1400)^{+}
20325,K_{2}(1820)^{+}
20333,f_{1}(1420)/f_{1}^\prime
20423,D_{1}(2430)^{0}
20433,D_{s1}(H)/D_{s1}^{*+}^{+}
20443,\chi_{c1}(1P)
20553,\chi_{b1}(1P)
21112,\Delta(1910)^{-}
21114,\Delta(1920)^{-}
21212,\Delta(1910)^{0}
21214,N(1700)^{0}
22112,\Delta(1910)^{0}
22114,\Delta(1920)^{0}
22122,\Delta(1910)^{+}
22124,N(1700)^{+}
22212,N(1535)^{+}
22214,\Delta(1920)^{+}
22222,\Delta(1910)^{++}
22224,\Delta(1920)^{++}
23112,\Sigma(1750)^{-}
23114,\Sigma(1940)^{-}
23122,\Lambda(1600)
23124,\Lambda(1890)
23126,\Lambda(2110)
23212,\Sigma(1750)^{0}
23214,\Sigma(1940)^{0}
23222,\Sigma(1750)^{+}
23224,\Sigma(1940)^{+}
30113,\rho(1700)^{0}
30213,\rho(1700)^{+}
30223,\omega(1650)
30313,K^{*}(1680)^{0}
30323,K^{*}(1680)^{+}
30443,\psi(3770)
30553,\Upsilon_{2}(1D)
31114,\Delta(1600)^{-}
31214,N(1720)^{0}
32112,N(1650)^{0}
32114,\Delta(1600)^{0}
32124,N(1720)^{+}
32212,N(1650)^{+}
32214,\Delta(1600)^{+}
32224,\Delta(1600)^{++}
33122,\Lambda(1670)
42112,N(1710)^{0}
42212,N(1710)^{+}
43122,\Lambda(1800)
53122,\Lambda(1810)
100111,\pi(1300)^{0}
100113,\rho(1450)^{0}
100115,a_{2}(1700)^{0}
100211,\pi(1300)^{+}
100213,\rho(1450)^{+}
100215,a_{2}(1700)^{+}
100221,\eta(1295)
100311,K(1460)^{0}
100313,K^{*}(1410)^{0}
100315,K_{2}^{*}(1980)^{0}
100321,K(1460)^{+}
100323,K^{*}(1410)^{+}
100325,K_{2}^{*}(1980)^{+}
100331,\eta(1475)
100333,\phi(1680)
100441,\eta_{c}(2S)
100443,\psi(2S)/\psi^\prime
100445,\chi_{c2}(2P)
100553,\Upsilon(2S)/\Upsilon^\prime
100555,\chi_{b2}(2P)
103316,\Xi(1950)^{-}
103326,\Xi(1950)^{0}
104122,\Lambda_{c}(2625)^{+}
104312,\Xi_{c}(2815)^{0}
104314,\Xi_{c}(2790)^{0}
104322,\Xi_{c}(2815)^{+}
104324,\Xi_{c}(2790)^{+}
110551,\chi_{b0}(2P)
120553,\chi_{b1}(2P)
200553,\Upsilon(3S)
203312,\Xi(1690)^{-}
203316,\Xi(2030)^{-}
203322,\Xi(1690)^{0}
203326,\Xi(2030)^{0}
203338,\Omega(2250)^{-}
204126,\Lambda_{c}(2880)^{+}
300553,\Upsilon(4S)
1000223,\omega(1420)
9000111,a_{0}(980)^{0}
9000113,\pi_{1}(1400)^{0}
9000115,\pi_{2}(2100)^{0}
9000117,\rho_{3}(1990)^{0}
9000211,a_{0}(980)^{+}
9000213,\pi_{1}(1400)^{+}
9000215,\pi_{2}(2100)^{+}
9000217,\rho_{3}(1990)^{+}
9000221,f_{0}(600)
9000223,f_{1}(1510)
9000225,f_{2}(1430)
9000229,f_{J}(2220)
9000311,K_{0}^{*}(800)^{0}
9000313,K_{1}(1650)^{0}
9000315,K_{2}(1580)^{0}
9000319,K_{4}(2500)^{0}
9000321,K_{0}^{*}(800)^{+}
9000323,K_{1}(1650)^{+}
9000325,K_{2}(1580)^{+}
9000329,K_{4}(2500)^{+}
9000443,\psi(4040)
9000553,\Upsilon(10860)
9010111,\pi(1800)^{0}
