pdgid,particle,antiparticle
5214,\Sigma_b^{*0},\Sigma_b^{*0}
5222,\Sigma_b^{+},\Sigma_b^{-}
5224,\Sigma_b^{*+},\Sigma_b^{*-}
5232,\Xi_b^{0},\Xi_b^{0}
9981,0^{+},0^{+}
9983,1^{+},1^{+}
9985,2^{+},2^{+}
9986,2^{-},2^{-}
9991,0^{-},0^{-}
9993,1^{-},1^{-}
10111,a_{0}(1450)^{0},a_{0}(1450)^{0}
10113,b_{1}(1235)^{0},b_{1}(1235)^{0}
10115,\pi_{2}(1670)^{0},\pi_{2}(1670)^{0}
10211,a_{0}(1450)^{+},a_{0}(1450)^{-}
10213,b_{1}(1235)^{+},b_{1}(1235)^{-}
10215,\pi_{2}(1670)^{+},\pi_{2}(1670)^{-}
10223,h_{1}(1170),h_{1}(1170)
10225,\eta_{2}(1645),\eta_{2}(1645)
10311,K_{0}^{*}(1430)^{0},K_{0}^{*}(1430)^{0}
10313,K_{1}(1270)^{0},K_{1}(1270)^{0}
10315,K_{2}(1770)^{0},K_{2}(1770)^{0}
10321,K_{0}^{*}(1430)^{+},K_{0}^{*}(1430)^{-}
10323,K_{1}(1270)^{+},K_{1}(1270)^{-}
10325,K_{2}(1770)^{+},K_{2}(1770)^{-}
10331,f_{0}(1710),f_{0}(1710)
10333,h_{1}(1380)/h_1^\prime,h_{1}(1380)/h_1^\prime
10335,\eta_{2}(1870),\eta_{2}(1870)
10411,D_{0}^{*}(2400)^{+},D_{0}^{*}(2400)^{-}
10413,D_{1}(2420)/D_1^{+}(L)^{+},D_{1}(2420)/D_1^{-}(L)^{-}
10421,D_{0}^{*}(2400)^{0},D_{0}^{*}(2400)^{0}
10423,D_{1}(2420)/D_1^{0}(L)^{0},D_{1}(2420)/D_1^{0}(L)^{0}
10431,D_{s0}^{*+},D_{s0}^{*-}
10433,D_{s1}(2536)/D_{s1}^{+}(L)^{+},D_{s1}(2536)/D_{s1}^{-}(L)^{-}
10441,\chi_{c0}(1P),\chi_{c0}(1P)
10443,h_c(1P),h_c(1P)
10551,\chi_{b0}(1P),\chi_{b0}(1P)
11114,\Delta(1700)^{-},\Delta(1700)^{+}
11116,\Delta(1930)^{-},\Delta(1930)^{+}
11216,\Delta(1930)^{0},\Delta(1930)^{0}
12126,\Delta(1930)^{+},\Delta(1930)^{-}
12226,\Delta(1930)^{++},\Delta(1930)^{--}
12112,N(1440)^{0},N(1440)^{0}
12114,\Delta(1700)^{0},\Delta(1700)^{0}
12116,N(1680)^{0},N(1680)^{0}
12212,N(1440)^{+},N(1440)^{-}
12214,\Delta(1700)^{+},\Delta(1700)^{-}
