ID,Mass,MassUpper,MassLower,Width,WidthUpper,WidthLower,I,G,P,C,Anti,Rank,Status,Name,Quarks,Latex
1,4.700000000000,0.500000000000,0.300000000000,-1.000000000000,-1.000000000000,1.000000000000,1/2,0,1,0,1,0,0,d,d,d
-1,4.700000000000,0.500000000000,0.300000000000,-1.000000000000,-1.000000000000,1.000000000000,1/2,0,1,0,1,0,0,d,D,\bar{d}
2,2.200000000000,0.500000000000,0.400000000000,-1.000000000000,-1.000000000000,1.000000000000,1/2,0,1,0,1,0,0,u,u,u
-2,2.200000000000,0.500000000000,0.400000000000,-1.000000000000,-1.000000000000,1.000000000000,1/2,0,1,0,1,0,0,u,U,\bar{u}
3,96.000000000000,9.000000000000,3.000000000000,-1.000000000000,-1.000000000000,1.000000000000,0,0,1,0,1,0,0,s,s,s
-3,96.000000000000,9.000000000000,3.000000000000,-1.000000000000,-1.000000000000,1.000000000000,0,0,1,0,1,0,0,s,S,\bar{s}
4,1275.000000000000,25.000000000000,35.000000000000,-1.000000000000,-1.000000000000,1.000000000000,0,0,1,0,1,0,0,c,c,c
-4,1275.000000000000,25.000000000000,35.000000000000,-1.000000000000,-1.000000000000,1.000000000000,0,0,1,0,1,0,0,c,C,\bar{c}
5,4180.000000000000,40.000000000000,30.000000000000,-1.000000000000,-1.000000000000,1.000000000000,0,0,1,0,1,0,0,b,b,b
-5,4180.000000000000,40.000000000000,30.000000000000,-1.000000000000,-1.000000000000,1.000000000000,0,0,1,0,1,0,0,b,B,\bar{b}
6,173100.000000000000,900.000000000000,900.000000000000,1410.000000000000,190.000000000000,150.000000000000,0,0,1,0,1,0,0,t,t,t
-6,173100.000000000000,900.000000000000,900.000000000000,1410.000000000000,190.000000000000,150.000000000000,0,0,1,0,1,0,0,t,T,\bar{t}
11,0.510998946100,0.000000003100,0.000000003100,0.000000000000,0.000000000000,0.000000000000,,0,0,0,2,0,0,e,,e^-
-11,0.510998946100,0.000000003100,0.000000003100,0.000000000000,0.000000000000,0.000000000000,,0,0,0,2,0,0,e,,e^+
13,105.658374500000,0.000002400000,0.000002400000,0.000000000000,0.000000000000,0.000000000000,,0,0,0,2,0,0,mu,,\mu^-
-13,105.658374500000,0.000002400000,0.000002400000,0.000000000000,0.000000000000,0.000000000000,,0,0,0,2,0,0,mu,,\mu^+
15,1776.860000000000,0.120000000000,0.120000000000,0.000000002267,0.000000000004,0.000000000004,,0,0,0,2,0,0,tau,,\tau^-
-15,1776.860000000000,0.120000000000,0.120000000000,0.000000002267,0.000000000004,0.000000000004,,0,0,0,2,0,0,tau,,\tau^+
22,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,<2,0,5,5,0,0,0,gamma,,\gamma
23,91187.600000000006,2.100000000000,2.100000000000,2495.200000000000,2.300000000000,2.300000000000,,0,0,0,0,0,0,Z,,Z^{0}
24,80378.999999999985,12.000000000000,12.000000000000,2080.000000000000,40.000000000000,40.000000000000,,0,0,0,2,0,0,W,,W^{+}
-24,80378.999999999985,12.000000000000,12.000000000000,2080.000000000000,40.000000000000,40.000000000000,,0,0,0,2,0,0,W,,W^{-}
111,134.977000000000,0.000500000000,0.000500000000,0.000007730000,0.000000170000,0.000000170000,1,5,5,1,0,0,0,pi,(uU-dD)/sqrt(2),\pi^{0}
113,775.260000000000,0.250000000000,0.250000000000,149.100000000000,0.800000000000,0.800000000000,1,1,5,5,2,0,0,rho(770),(uU-dD)/sqrt(2),\rho(770)^{0}
115,1318.300000000000,0.500000000000,0.600000000000,107.000000000000,5.000000000000,5.000000000000,1,5,1,1,2,0,0,a(2)(1320),(uU-dD)/sqrt(2),a_{2}(1320)^{0}
117,1688.800000000000,2.100000000000,2.100000000000,161.000000000000,10.000000000000,10.000000000000,1,1,5,5,2,0,0,rho(3)(1690),(uU-dD)/sqrt(2),\rho_3(1690)^{0}
119,1995.000000000000,10.000000000000,8.000000000000,257.000000000000,25.000000000000,23.000000000000,1,5,1,1,2,0,0,a(4)(2040),(uU-dD)/sqrt(2),a_4(2040)^{0}
130,497.611000000000,0.013000000000,0.013000000000,0.000000000000,0.000000000000,0.000000000000,1/2,0,5,0,0,0,0,K(L),p(dS)-q(Ds),K_L^{0}
211,139.570610000000,0.000240000000,0.000240000000,0.000000000000,0.000000000000,0.000000000000,1,5,5,0,2,0,0,pi,uD,\pi^{+}
-211,139.570610000000,0.000240000000,0.000240000000,0.000000000000,0.000000000000,0.000000000000,1,5,5,0,2,0,0,pi,Ud,\pi^{-}
213,775.260000000000,0.250000000000,0.250000000000,149.100000000000,0.800000000000,0.800000000000,1,1,5,0,2,0,0,rho(770),uD,\rho(770)^{+}
-213,775.260000000000,0.250000000000,0.250000000000,149.100000000000,0.800000000000,0.800000000000,1,1,5,0,2,0,0,rho(770),Ud,\rho(770)^{-}
215,1318.300000000000,0.500000000000,0.600000000000,107.000000000000,5.000000000000,5.000000000000,1,5,1,0,2,0,0,a(2)(1320),uD,a_{2}(1320)^{+}
-215,1318.300000000000,0.500000000000,0.600000000000,107.000000000000,5.000000000000,5.000000000000,1,5,1,0,2,0,0,a(2)(1320),Ud,a_{2}(1320)^{-}
217,1688.800000000000,2.100000000000,2.100000000000,161.000000000000,10.000000000000,10.000000000000,1,1,5,0,2,0,0,rho(3)(1690),uD,\rho_3(1690)^{+}
-217,1688.800000000000,2.100000000000,2.100000000000,161.000000000000,10.000000000000,10.000000000000,1,1,5,0,2,0,0,rho(3)(1690),Ud,\rho_3(1690)^{-}
219,1995.000000000000,10.000000000000,8.000000000000,257.000000000000,25.000000000000,23.000000000000,1,5,1,0,2,0,0,a(4)(2040),uD,a_4(2040)^{+}
-219,1995.000000000000,10.000000000000,8.000000000000,257.000000000000,25.000000000000,23.000000000000,1,5,1,0,2,0,0,a(4)(2040),Ud,a_4(2040)^{-}
221,547.862000000000,0.017000000000,0.017000000000,0.001310000000,0.000050000000,0.000050000000,0,1,5,1,0,0,0,eta,x(uU+dD)+y(sS),\eta
223,782.650000000000,0.120000000000,0.120000000000,8.490000000000,0.080000000000,0.080000000000,0,5,5,5,0,0,0,omega(782),x(uU+dD)+y(sS),\omega(782)
225,1275.500000000000,0.800000000000,0.800000000000,186.700000000000,2.200000000000,2.500000000000,0,1,1,1,0,0,0,f(2)(1270),x(uU+dD)+y(sS),f_{2}(1270)
227,1667.000000000000,4.000000000000,4.000000000000,168.000000000000,10.000000000000,10.000000000000,0,5,5,5,0,0,0,omega(3)(1670),x(uU+dD)+y(sS),\omega_3(1670)
229,2018.000000000000,11.000000000000,11.000000000000,237.000000000000,18.000000000000,18.000000000000,0,1,1,1,0,0,0,f(4)(2050),x(uU+dD)+y(sS),f_4(2050)
310,497.611000000000,0.013000000000,0.013000000000,0.000000000007,0.000000000000,0.000000000000,1/2,0,5,0,0,0,0,K(S),p(dS)+q(Ds),K_S^{0}
311,497.611000000000,0.013000000000,0.013000000000,-1.000000000000,-1.000000000000,1.000000000000,1/2,0,5,0,1,0,0,K,dS,K^{0}
-311,497.611000000000,0.013000000000,0.013000000000,-1.000000000000,-1.000000000000,1.000000000000,1/2,0,5,0,1,0,0,K,Ds,\bar{K}^{0}
313,895.550000000000,0.200000000000,0.200000000000,47.300000000000,0.500000000000,0.500000000000,1/2,0,5,0,1,0,0,K*(892),dS,K^{*}(892)^{0}
-313,895.550000000000,0.200000000000,0.200000000000,47.300000000000,0.500000000000,0.500000000000,1/2,0,5,0,1,0,0,K*(892),Ds,\bar{K}^{*}(892)^{0}
315,1432.400000000000,1.300000000000,1.300000000000,109.000000000000,5.000000000000,5.000000000000,1/2,0,1,0,1,0,0,K(2)*(1430),dS,K_{2}^{*}(1430)^{0}
-315,1432.400000000000,1.300000000000,1.300000000000,109.000000000000,5.000000000000,5.000000000000,1/2,0,1,0,1,0,0,K(2)*(1430),Ds,\bar{K_}{2}^{*}(1430)^{0}
317,1776.000000000000,7.000000000000,7.000000000000,159.000000000000,21.000000000000,21.000000000000,1/2,0,5,0,1,0,0,K(3)*(1780),dS,K_3^{*}(1780)^{0}
-317,1776.000000000000,7.000000000000,7.000000000000,159.000000000000,21.000000000000,21.000000000000,1/2,0,5,0,1,0,0,K(3)*(1780),Ds,\bar{K_3}^{*}(1780)^{0}
319,2045.000000000000,9.000000000000,9.000000000000,198.000000000000,30.000000000000,30.000000000000,1/2,0,1,0,1,0,0,K(4)*(2045),dS,K_4^{*}(2045)^{0}
-319,2045.000000000000,9.000000000000,9.000000000000,198.000000000000,30.000000000000,30.000000000000,1/2,0,1,0,1,0,0,K(4)*(2045),Ds,\bar{K_4}^{*}(2045)^{0}
321,493.677000000000,0.016000000000,0.016000000000,0.000000000000,0.000000000000,0.000000000000,1/2,0,5,0,2,0,0,K,uS,K^{+}
-321,493.677000000000,0.016000000000,0.016000000000,0.000000000000,0.000000000000,0.000000000000,1/2,0,5,0,2,0,0,K,Us,K^{-}
323,891.760000000000,0.250000000000,0.250000000000,50.300000000000,0.800000000000,0.800000000000,1/2,0,5,0,1,0,0,K*(892),uS,K^{*}(892)^{+}
-323,891.760000000000,0.250000000000,0.250000000000,50.300000000000,0.800000000000,0.800000000000,1/2,0,5,0,1,0,0,K*(892),Us,\bar{K}^{*}(892)^{-}
325,1425.600000000000,1.500000000000,1.500000000000,98.500000000000,2.700000000000,2.700000000000,1/2,0,1,0,1,0,0,K(2)*(1430),uS,K_{2}^{*}(1430)^{+}
-325,1425.600000000000,1.500000000000,1.500000000000,98.500000000000,2.700000000000,2.700000000000,1/2,0,1,0,1,0,0,K(2)*(1430),Us,\bar{K_}{2}^{*}(1430)^{-}
327,1776.000000000000,7.000000000000,7.000000000000,159.000000000000,21.000000000000,21.000000000000,1/2,0,5,0,1,0,0,K(3)*(1780),uS,K_3^{*}(1780)^{+}
-327,1776.000000000000,7.000000000000,7.000000000000,159.000000000000,21.000000000000,21.000000000000,1/2,0,5,0,1,0,0,K(3)*(1780),Us,\bar{K_3}^{*}(1780)^{-}
329,2045.000000000000,9.000000000000,9.000000000000,198.000000000000,30.000000000000,30.000000000000,1/2,0,1,0,1,0,0,K(4)*(2045),uS,K_4^{*}(2045)^{+}
-329,2045.000000000000,9.000000000000,9.000000000000,198.000000000000,30.000000000000,30.000000000000,1/2,0,1,0,1,0,0,K(4)*(2045),Us,\bar{K_4}^{*}(2045)^{-}
331,957.780000000000,0.060000000000,0.060000000000,0.196000000000,0.009000000000,0.009000000000,0,1,5,1,0,0,0,eta'(958),x(uU+dD)+y(sS),\eta^\prime(958)
333,1019.461000000000,0.016000000000,0.016000000000,4.249000000000,0.013000000000,0.013000000000,0,5,5,5,0,0,0,phi(1020),x(uU+dD)+y(sS),\phi(1020)
335,1525.000000000000,5.000000000000,5.000000000000,73.000000000000,6.000000000000,5.000000000000,0,1,1,1,0,0,0,f(2)'(1525),x(uU+dD)+y(sS),f_{2}^\prime(1525)
337,1854.000000000000,7.000000000000,7.000000000000,87.000000000000,28.000000000000,23.000000000000,0,5,5,5,0,0,0,phi(3)(1850),x(uU+dD)+y(sS),\phi_3(1850)
411,1869.650000000000,0.050000000000,0.050000000000,0.000000000633,0.000000000004,0.000000000004,1/2,0,5,0,2,0,0,D,cD,D^{+}
-411,1869.650000000000,0.050000000000,0.050000000000,0.000000000633,0.000000000004,0.000000000004,1/2,0,5,0,2,0,0,D,Cd,D^{-}
413,2010.260000000000,0.050000000000,0.050000000000,0.083400000000,0.001800000000,0.001800000000,1/2,0,5,0,2,0,0,D*(2010),cD,D^{*}(2010)^{+}
-413,2010.260000000000,0.050000000000,0.050000000000,0.083400000000,0.001800000000,0.001800000000,1/2,0,5,0,2,0,0,D*(2010),Cd,D^{*}(2010)^{-}
415,2465.400000000000,1.300000000000,1.300000000000,46.700000000000,1.200000000000,1.200000000000,1/2,0,1,0,2,0,0,D(2)*(2460),cD,D_{2}^{*}(2460)^{+}
-415,2465.400000000000,1.300000000000,1.300000000000,46.700000000000,1.200000000000,1.200000000000,1/2,0,1,0,2,0,0,D(2)*(2460),Cd,D_{2}^{*}(2460)^{-}
421,1864.830000000000,0.050000000000,0.050000000000,0.000000001605,0.000000000006,0.000000000006,1/2,0,5,0,1,0,0,D,cU,D^{0}
-421,1864.830000000000,0.050000000000,0.050000000000,0.000000001605,0.000000000006,0.000000000006,1/2,0,5,0,1,0,0,D,Cu,\bar{D}^{0}
423,2006.850000000000,0.050000000000,0.050000000000,2.100000000000,-1.000000000000,1.000000000000,1/2,0,5,0,1,0,0,D*(2007),cU,D^{*}(2007)^{0}
-423,2006.850000000000,0.050000000000,0.050000000000,2.100000000000,-1.000000000000,1.000000000000,1/2,0,5,0,1,0,0,D*(2007),Cu,\bar{D}^{*}(2007)^{0}
425,2460.700000000000,0.400000000000,0.400000000000,47.500000000000,1.100000000000,1.100000000000,1/2,0,1,0,1,0,0,D(2)*(2460),cU,D_{2}^{*}(2460)^{0}
-425,2460.700000000000,0.400000000000,0.400000000000,47.500000000000,1.100000000000,1.100000000000,1/2,0,1,0,1,0,0,D(2)*(2460),Cu,\bar{D_}{2}^{*}(2460)^{0}
431,1968.340000000000,0.070000000000,0.070000000000,0.000000001305,0.000000000010,0.000000000010,0,0,5,0,2,0,0,D(s),cS,D_s^{+}
-431,1968.340000000000,0.070000000000,0.070000000000,0.000000001305,0.000000000010,0.000000000010,0,0,5,0,2,0,0,D(s),Cs,D_s^{-}
433,2112.200000000000,0.400000000000,0.400000000000,-1.000000000000,-1.000000000000,1.000000000000,0,0,5,0,2,0,0,D(s)*,cS,D_s^{*+}
-433,2112.200000000000,0.400000000000,0.400000000000,-1.000000000000,-1.000000000000,1.000000000000,0,0,5,0,2,0,0,D(s)*,Cs,D_s^{*-}
435,2569.100000000000,0.800000000000,0.800000000000,16.900000000000,0.800000000000,0.800000000000,0,0,5,0,2,0,0,D(s2)*(2573),cS,D_{s2}^{*+}
-435,2569.100000000000,0.800000000000,0.800000000000,16.900000000000,0.800000000000,0.800000000000,0,0,5,0,2,0,0,D(s2)*(2573),Cs,D_{s2}^{*-}
441,2983.900000000000,0.500000000000,0.500000000000,32.000000000000,0.800000000000,0.800000000000,0,1,5,1,0,0,0,eta(c)(1S),cC,\eta_c(1S)
443,3096.900000000000,0.006000000000,0.006000000000,0.092900000000,0.002800000000,0.002800000000,0,5,5,5,0,0,0,J/psi(1S),cC,J/\psi(1S)
445,3556.170000000000,0.070000000000,0.070000000000,1.970000000000,0.090000000000,0.090000000000,0,1,1,1,0,0,0,chi(c2)(1P),cC,\chi_{c2}(1P)
511,5279.630000000000,0.150000000000,0.150000000000,0.000000000433,0.000000000001,0.000000000001,1/2,0,5,0,1,0,0,B,dB,B^{0}
-511,5279.630000000000,0.150000000000,0.150000000000,0.000000000433,0.000000000001,0.000000000001,1/2,0,5,0,1,0,0,B,Db,\bar{B}^{0}
513,5324.650000000001,0.250000000000,0.250000000000,-1.000000000000,-1.000000000000,1.000000000000,1/2,0,5,0,1,0,0,B*,dB,B^{*0}
-513,5324.650000000001,0.250000000000,0.250000000000,-1.000000000000,-1.000000000000,1.000000000000,1/2,0,5,0,1,0,0,B*,Db,\bar{B}^{*0}
515,5739.500000000000,0.700000000000,0.700000000000,24.200000000000,1.700000000000,1.700000000000,1/2,0,1,0,1,3,0,B(2)*(5747),dB,B_{2}^{*0}
-515,5739.500000000000,0.700000000000,0.700000000000,24.200000000000,1.700000000000,1.700000000000,1/2,0,1,0,1,3,0,B(2)*(5747),Db,\bar{B_}{2}^{*0}
521,5279.320000000000,0.140000000000,0.140000000000,0.000000000402,0.000000000001,0.000000000001,1/2,0,5,0,2,0,0,B,uB,B^{+}
-521,5279.320000000000,0.140000000000,0.140000000000,0.000000000402,0.000000000001,0.000000000001,1/2,0,5,0,2,0,0,B,Ub,B^{-}
523,5324.650000000001,0.250000000000,0.250000000000,-1.000000000000,-1.000000000000,1.000000000000,1/2,0,5,0,1,0,0,B*,uB,B^{*+}
-523,5324.650000000001,0.250000000000,0.250000000000,-1.000000000000,-1.000000000000,1.000000000000,1/2,0,5,0,1,0,0,B*,Ub,\bar{B}^{*-}
525,5739.500000000000,0.700000000000,0.700000000000,24.200000000000,1.700000000000,1.700000000000,1/2,0,1,0,1,3,0,B(2)*(5747),uB,B_{2}^{*+}
-525,5739.500000000000,0.700000000000,0.700000000000,24.200000000000,1.700000000000,1.700000000000,1/2,0,1,0,1,3,0,B(2)*(5747),Ub,\bar{B_}{2}^{*-}
531,5366.889999999999,0.190000000000,0.190000000000,0.000000000436,0.000000000001,0.000000000001,0,0,5,0,1,0,0,B(s),sB,B_s^{0}
-531,5366.889999999999,0.190000000000,0.190000000000,0.000000000436,0.000000000001,0.000000000001,0,0,5,0,1,0,0,B(s),Sb,\bar{B_s}^{0}
533,5415.400000000000,1.800000000000,1.500000000000,-1.000000000000,-1.000000000000,1.000000000000,0,0,5,0,1,0,0,B(s)*,sB,B_s^{*0}
-533,5415.400000000000,1.800000000000,1.500000000000,-1.000000000000,-1.000000000000,1.000000000000,0,0,5,0,1,0,0,B(s)*,Sb,\bar{B_s}^{*0}
535,5839.850000000000,0.170000000000,0.170000000000,1.470000000000,0.330000000000,0.330000000000,1/2,0,1,0,1,3,0,B(s2)*(5840),sB,B_{s2}^{*0}
-535,5839.850000000000,0.170000000000,0.170000000000,1.470000000000,0.330000000000,0.330000000000,1/2,0,1,0,1,3,0,B(s2)*(5840),Sb,\bar{B_}{s2}^{*0}
541,6274.900000000000,0.800000000000,0.800000000000,0.000000001298,0.000000000023,0.000000000023,0,0,5,0,2,0,0,B(c),cB,B_c^{+}
-541,6274.900000000000,0.800000000000,0.800000000000,0.000000001298,0.000000000023,0.000000000023,0,0,5,0,2,0,0,B(c),Cb,B_c^{-}
551,9300.000000000000,28.000000000000,28.000000000000,-1.000000000000,-1.000000000000,1.000000000000,0,1,5,1,0,0,2,eta(b)(1S),bB,\eta_b(1S)
553,9460.299999999999,0.260000000000,0.260000000000,0.054000000000,0.001300000000,0.001300000000,0,5,5,5,0,0,0,Upsilon(1S),bB,\Upsilon(1S)
555,9912.200000000001,0.400000000000,0.400000000000,-1.000000000000,-1.000000000000,1.000000000000,0,1,1,1,0,0,0,chi(b2)(1P),bB,\chi_{b2}(1P)
1112,1610.000000000000,20.000000000000,20.000000000000,130.000000000000,20.000000000000,20.000000000000,3/2,0,5,0,1,4,0,Delta(1620),ddd,\Delta(1620)^-
-1112,1610.000000000000,20.000000000000,20.000000000000,130.000000000000,20.000000000000,20.000000000000,3/2,0,5,0,1,4,0,Delta(1620),DDD,\bar{\Delta}(1620)^+
1114,1232.000000000000,2.000000000000,2.000000000000,117.000000000000,3.000000000000,3.000000000000,3/2,0,1,0,1,4,0,Delta(1232),ddd,\Delta^-
-1114,1232.000000000000,2.000000000000,2.000000000000,117.000000000000,3.000000000000,3.000000000000,3/2,0,1,0,1,4,0,Delta(1232),DDD,\bar{\Delta}^+
1116,1880.000000000000,30.000000000000,25.000000000000,330.000000000000,70.000000000000,60.000000000000,3/2,0,1,0,1,4,1,Delta(1905),ddd,\Delta(1905)^-
-1116,1880.000000000000,30.000000000000,25.000000000000,330.000000000000,70.000000000000,60.000000000000,3/2,0,1,0,1,4,1,Delta(1905),DDD,\bar{\Delta}(1905)^+
1118,1930.000000000000,20.000000000000,15.000000000000,280.000000000000,50.000000000000,50.000000000000,3/2,0,1,0,1,4,1,Delta(1950),ddd,\Delta(1950)^-
-1118,1930.000000000000,20.000000000000,15.000000000000,280.000000000000,50.000000000000,50.000000000000,3/2,0,1,0,1,4,1,Delta(1950),DDD,\bar{\Delta}(1950)^+
1212,1610.000000000000,20.000000000000,20.000000000000,130.000000000000,20.000000000000,20.000000000000,3/2,0,5,0,1,4,0,Delta(1620),udd,\Delta(1620)^{+}
-1212,1610.000000000000,20.000000000000,20.000000000000,130.000000000000,20.000000000000,20.000000000000,3/2,0,5,0,1,4,0,Delta(1620),UDD,\bar{\Delta}(1620)^{-}
1214,1515.000000000000,5.000000000000,5.000000000000,110.000000000000,10.000000000000,10.000000000000,1/2,0,5,0,1,4,0,N(1520),udd,N(1520)^{0}
-1214,1515.000000000000,5.000000000000,5.000000000000,110.000000000000,10.000000000000,10.000000000000,1/2,0,5,0,1,4,0,N(1520),UDD,\bar{N}(1520)^{0}
1216,1880.000000000000,30.000000000000,25.000000000000,330.000000000000,70.000000000000,60.000000000000,3/2,0,1,0,1,4,1,Delta(1905),udd,\Delta(1905)^{0}
-1216,1880.000000000000,30.000000000000,25.000000000000,330.000000000000,70.000000000000,60.000000000000,3/2,0,1,0,1,4,1,Delta(1905),UDD,\bar{\Delta}(1905)^{0}
1218,2180.000000000000,40.000000000000,40.000000000000,400.000000000000,100.000000000000,100.000000000000,1/2,0,5,0,1,4,1,N(2190),udd,N(2190)^{0}
-1218,2180.000000000000,40.000000000000,40.000000000000,400.000000000000,100.000000000000,100.000000000000,1/2,0,5,0,1,4,1,N(2190),UDD,\bar{N}(2190)^{0}
2112,939.565413000000,0.000006000000,0.000006000000,0.000000000000,0.000000000000,0.000000000000,1/2,0,1,0,1,4,0,n,udd,\Delta(1620)^{0}
-2112,939.565413000000,0.000006000000,0.000006000000,0.000000000000,0.000000000000,0.000000000000,1/2,0,1,0,1,4,0,n,UDD,\bar{\Delta}(1620)^{0}
2114,1232.000000000000,2.000000000000,2.000000000000,117.000000000000,3.000000000000,3.000000000000,3/2,0,1,0,1,4,0,Delta(1232),udd,\Delta^{0}
-2114,1232.000000000000,2.000000000000,2.000000000000,117.000000000000,3.000000000000,3.000000000000,3/2,0,1,0,1,4,0,Delta(1232),UDD,\bar{\Delta}^{0}
