PDGID,STR
-2226,anti-Delta(1905)--
21112,Delta(1910)-
-21112,anti-Delta(1910)+
21212,Delta(1910)0
-21212,anti-Delta(1910)0
22122,Delta(1910)+
-22122,anti-Delta(1910)-
22222,Delta(1910)++
-22222,anti-Delta(1910)--
21114,Delta(1920)-
-21114,anti-Delta(1920)+
22114,Delta(1920)0
-22114,anti-Delta(1920)0
22214,Delta(1920)+
-22214,anti-Delta(1920)-
22224,Delta(1920)++
-22224,anti-Delta(1920)--
11116,Delta(1930)-
-11116,anti-Delta(1930)+
11216,Delta(1930)0
-11216,anti-Delta(1930)0
12126,Delta(1930)+
-12126,anti-Delta(1930)-
12226,Delta(1930)++
-12226,anti-Delta(1930)--
1118,Delta(1950)-
-1118,anti-Delta(1950)+
2118,Delta(1950)0
-2118,anti-Delta(1950)0
2218,Delta(1950)+
-2218,anti-Delta(1950)-
2228,Delta(1950)++
-2228,anti-Delta(1950)--
3122,Lambda0
-3122,anti-Lambda0
13122,Lambda(1405)0
-13122,anti-Lambda(1405)0
3124,Lambda(1520)0
-3124,anti-Lambda(1520)0
23122,Lambda(1600)0
-23122,anti-Lambda(1600)0
33122,Lambda(1670)0
-33122,anti-Lambda(1670)0
13124,Lambda(1690)0
-13124,anti-Lambda(1690)0
43122,Lambda(1800)0
-43122,anti-Lambda(1800)0
53122,Lambda(1810)0
-53122,anti-Lambda(1810)0
3126,Lambda(1820)0
-3126,anti-Lambda(1820)0
13126,Lambda(1830)0
-13126,anti-Lambda(1830)0
23124,Lambda(1890)0
-23124,anti-Lambda(1890)0
3128,Lambda(2100)0
-3128,anti-Lambda(2100)0
23126,Lambda(2110)0
-23126,anti-Lambda(2110)0
3112,Sigma-
-3112,anti-Sigma+
3212,Sigma0
-3212,anti-Sigma0
3222,Sigma+
-3222,anti-Sigma-
3114,Sigma*-
-3114,anti-Sigma*+
3214,Sigma*0
-3214,anti-Sigma*0
3224,Sigma*+
-3224,anti-Sigma*-
13112,Sigma(1660)-
-13112,anti-Sigma(1660)+
13212,Sigma(1660)0
-13212,anti-Sigma(1660)0
13222,Sigma(1660)+
-13222,anti-Sigma(1660)-
13114,Sigma(1670)-
-13114,anti-Sigma(1670)+
13214,Sigma(1670)0
-13214,anti-Sigma(1670)0
13224,Sigma(1670)+
-13224,anti-Sigma(1670)-
23112,Sigma(1750)-
-23112,anti-Sigma(1750)+
23212,Sigma(1750)0
-23212,anti-Sigma(1750)0
23222,Sigma(1750)+
-23222,anti-Sigma(1750)-
3116,Sigma(1775)-
-3116,anti-Sigma(1775)+
3216,Sigma(1775)0
-3216,anti-Sigma(1775)0
3226,Sigma(1775)+
-3226,anti-Sigma(1775)-
13116,Sigma(1915)-
-13116,anti-Sigma(1915)+
13216,Sigma(1915)0
-13216,anti-Sigma(1915)0
13226,Sigma(1915)+
-13226,anti-Sigma(1915)-
23114,Sigma(1940)-
-23114,anti-Sigma(1940)+
23214,Sigma(1940)0
-23214,anti-Sigma(1940)0
23224,Sigma(1940)+
-23224,anti-Sigma(1940)-
3218,Sigma(2030)0
-3218,anti-Sigma(2030)0
3228,Sigma(2030)+
-3228,anti-Sigma(2030)-
3118,Sigma(2030)-
-3118,anti-Sigma(2030)+
3312,Xi-
-3312,anti-Xi+
3322,Xi0
-3322,anti-Xi0
3314,Xi*-
-3314,anti-Xi*+
3324,Xi*0
-3324,anti-Xi*0
203312,Xi(1690)-
-203312,anti-Xi(1690)+
203322,Xi(1690)0
-203322,anti-Xi(1690)0
13314,Xi(1820)-
-13314,anti-Xi(1820)+
13324,Xi(1820)0
-13324,anti-Xi(1820)0
103316,Xi(1950)-
-103316,anti-Xi(1950)+
103326,Xi(1950)0
-103326,anti-Xi(1950)0
203316,Xi(2030)-
-203316,anti-Xi(2030)+
203326,Xi(2030)0
-203326,anti-Xi(2030)0
3334,Omega-
-3334,anti-Omega+
203338,Omega(2250)-
-203338,anti-Omega(2250)+
4122,Lambda_c+
-4122,anti-Lambda_c-
14122,Lambda_c(2593)+
-14122,anti-Lambda_c(2593)-
104122,Lambda_c(2625)+
-104122,anti-Lambda_c(2625)-
204126,Lambda_c(2880)+
-204126,anti-Lambda_c(2880)-
4112,Sigma_c0
-4112,anti-Sigma_c0
4212,Sigma_c+
-4212,anti-Sigma_c-
4222,Sigma_c++
-4222,anti-Sigma_c--
4114,Sigma_c*0
