# (c) Scikit-HEP project - Particle package data file - pdgid_to_corsika7id.csv - 2023-01-17
# Auto generated by 'admin/dump_pdgid_to_corsika7.py'
PDGID,CORSIKA7ID
22,1
-11,2
11,3
-13,5
13,6
111,7
211,8
-211,9
130,10
321,11
-321,12
2112,13
2212,14
-2212,15
310,16
221,17
3122,18
3222,19
3212,20
3112,21
3322,22
3312,23
3334,24
-2112,25
-3122,26
-3222,27
-3212,28
-3112,29
-3322,30
-3312,31
-3334,32
331,48
333,49
223,50
113,51
213,52
-213,53
2224,54
2214,55
2114,56
1114,57
-2224,58
-2214,59
-2114,60
-1114,61
313,62
323,63
-323,64
-313,65
12,66
-12,67
14,68
-14,69
421,116
411,117
-411,118
-421,119
431,120
-431,121
441,122
423,123
413,124
-413,125
-423,126
433,127
-433,128
443,130
-15,131
15,132
16,133
-16,134
4122,137
4232,138
4132,139
4222,140
4212,141
4112,142
4322,143
4312,144
4332,145
-4122,149
-4232,150
-4132,151
-4222,152
-4212,153
-4112,154
-4322,155
-4312,156
-4332,157
4224,161
4214,162
4114,163
-4224,171
-4214,172
-4114,173
511,176
521,177
-521,178
-511,179
531,180
-531,181
541,182
-541,183
5122,184
5112,185
5222,186
5232,187
5132,188
5332,189
-5122,190
-5112,191
-5222,192
-5232,193
-5132,194
-5332,195
1000010020,201
1000010030,301
1000020030,302
1000010040,401
1000020040,402
1000030040,403
1000010050,501
1000020050,502
1000030050,503
1000040050,504
1000010060,601
1000020060,602
1000030060,603
1000040060,604
1000020070,702
1000030070,703
1000040070,704
1000050070,705
1000020080,802
1000030080,803
1000040080,804
1000050080,805
1000060080,806
1000020090,902
1000030090,903
1000040090,904
1000050090,905
1000060090,906
1000020100,1002
1000030100,1003
1000040100,1004
1000050100,1005
1000060100,1006
1000070100,1007
1000030110,1103
1000040110,1104
1000050110,1105
1000060110,1106
1000070110,1107
1000030120,1203
1000040120,1204
1000050120,1205
1000060120,1206
1000070120,1207
1000080120,1208
1000040130,1304
1000050130,1305
1000060130,1306
1000070130,1307
1000080130,1308
1000040140,1404
1000050140,1405
1000060140,1406
1000070140,1407
1000080140,1408
1000090140,1409
1000050150,1505
1000060150,1506
1000070150,1507
1000080150,1508
1000090150,1509
1000050160,1605
1000060160,1606
1000070160,1607
1000080160,1608
1000090160,1609
1000100160,1610
1000050170,1705
1000060170,1706
1000070170,1707
1000080170,1708
1000090170,1709
1000100170,1710
1000050180,1805
1000060180,1806
1000070180,1807
1000080180,1808
1000090180,1809
1000100180,1810
1000110180,1811
1000050190,1905
1000060190,1906
1000070190,1907
1000080190,1908
1000090190,1909
1000100190,1910
1000110190,1911
1000060200,2006
1000070200,2007
1000080200,2008
1000090200,2009
1000100200,2010
1000110200,2011
1000120200,2012
1000060210,2106
1000070210,2107
1000080210,2108
1000090210,2109
1000100210,2110
1000110210,2111
1000120210,2112
1000130210,2113
1000060220,2206
1000070220,2207
1000080220,2208
1000090220,2209
1000100220,2210
1000110220,2211
1000120220,2212
1000130220,2213
1000140220,2214
1000070230,2307
1000080230,2308
1000090230,2309
1000100230,2310
1000110230,2311
1000120230,2312
1000130230,2313
1000140230,2314
1000070240,2407
1000080240,2408
1000090240,2409
1000100240,2410
1000110240,2411
1000120240,2412
1000130240,2413
1000140240,2414
1000150240,2415
1000080250,2508
1000090250,2509
1000100250,2510
1000110250,2511
1000120250,2512
1000130250,2513
1000140250,2514
1000150250,2515
1000080260,2608
1000090260,2609
