# (c) Scikit-HEP project - Particle package data file - conversions.csv - version 5 - 2020-03-30
      PDGID,   PYTHIAID,   GEANT3ID,            PDGNAME,            EVTGENNAME,                     LATEXNAME
      -4414,      -4414,        505,          Xi(cc)*~-,          anti-Xi_cc*-,           \bar{\Xi}_{cc}^{*-}
       4422,       4422,        506,           Xi(cc)++,               Xi_cc++,                 \Xi_{cc}^{++}
      -4422,      -4422,        507,          Xi(cc)~--,          anti-Xi_cc--,           \bar{\Xi}_{cc}^{--}
       4424,       4424,        508,          Xi(cc)*++,              Xi_cc*++,                \Xi_{cc}^{*++}
      -4424,      -4424,        509,         Xi(cc)*~--,         anti-Xi_cc*--,          \bar{\Xi}_{cc}^{*--}
       4432,       4432,        510,         Omega(cc)+,             Omega_cc+,               \Omega_{cc}^{+}
      -4432,      -4432,        511,        Omega(cc)~-,        anti-Omega_cc-,         \bar{\Omega}_{cc}^{-}
       4434,       4434,        512,        Omega(cc)*+,            Omega_cc*+,              \Omega_{cc}^{*+}
      -4434,      -4434,        513,       Omega(cc)*~-,       anti-Omega_cc*-,        \bar{\Omega}_{cc}^{*-}
       4444,       4444,        514,      Omega(ccc)*++,          Omega_ccc*++,            \Omega_{ccc}^{*++}
      -4444,      -4444,        515,     Omega(ccc)*~--,     anti-Omega_ccc*--,      \bar{\Omega}_{ccc}^{*--}
       5101,       5101,        516,            (bd)(0),                  bd_0,                      (bd)_{0}
      -5101,      -5101,        517,           (bd)(0)~,             anti-bd_0,                (\bar{bd})_{0}
       5103,       5103,        518,            (bd)(1),                  bd_1,                      (bd)_{1}
      -5103,      -5103,        519,           (bd)(1)~,             anti-bd_1,                (\bar{bd})_{1}
       5112,       5112,        114,          Sigma(b)-,              Sigma_b-,                \Sigma_{b}^{-}
      -5112,      -5112,        115,         Sigma(b)~+,         anti-Sigma_b+,          \bar{\Sigma}_{b}^{+}
       5114,       5114,        520,         Sigma(b)*-,             Sigma_b*-,               \Sigma_{b}^{*-}
      -5114,      -5114,        521,        Sigma(b)*~+,        anti-Sigma_b*+,         \bar{\Sigma}_{b}^{*+}
       5122,       5122,         79,         Lambda(b)0,             Lambda_b0,               \Lambda_{b}^{0}
      -5122,      -5122,         80,        Lambda(b)~0,        anti-Lambda_b0,         \bar{\Lambda}_{b}^{0}
       5124,       5124,       1067,   Lambda(b)(5920)0,       Lambda_b(5920)0,         \Lambda_{b}(5920)^{0}
      -5124,      -5124,       1068,  Lambda(b)(5920)~0,  anti-Lambda_b(5920)0,   \bar{\Lambda}_{b}(5920)^{0}
       5132,       5132,        122,             Xi(b)-,                 Xi_b-,                   \Xi_{b}^{-}
      -5132,      -5132,        123,            Xi(b)~+,            anti-Xi_b+,             \bar{\Xi}_{b}^{+}
       5142,       5142,        522,            Xi(bc)0,                Xi_bc0,                  \Xi_{bc}^{0}
      -5142,      -5142,        523,           Xi(bc)~0,           anti-Xi_bc0,            \bar{\Xi}_{bc}^{0}
       5201,       5201,        524,            (bu)(0),                  bu_0,                      (bu)_{0}
      -5201,      -5201,        525,           (bu)(0)~,             anti-bu_0,                (\bar{bu})_{0}
       5203,       5203,        526,            (bu)(1),                  bu_1,                      (bu)_{1}
      -5203,      -5203,        527,           (bu)(1)~,             anti-bu_1,                (\bar{bu})_{1}
       5212,       5212,        112,          Sigma(b)0,              Sigma_b0,                \Sigma_{b}^{0}
      -5212,      -5212,        113,         Sigma(b)~0,         anti-Sigma_b0,          \bar{\Sigma}_{b}^{0}
       5214,       5214,        528,         Sigma(b)*0,             Sigma_b*0,               \Sigma_{b}^{*0}
      -5214,      -5214,        529,        Sigma(b)*~0,        anti-Sigma_b*0,         \bar{\Sigma}_{b}^{*0}
       5222,       5222,        110,          Sigma(b)+,              Sigma_b+,                \Sigma_{b}^{+}
      -5222,      -5222,        111,         Sigma(b)~-,         anti-Sigma_b-,          \bar{\Sigma}_{b}^{-}
       5224,       5224,        530,         Sigma(b)*+,             Sigma_b*+,               \Sigma_{b}^{*+}
      -5224,      -5224,        531,        Sigma(b)*~-,        anti-Sigma_b*-,         \bar{\Sigma}_{b}^{*-}
       5232,       5232,        124,             Xi(b)0,                 Xi_b0,                   \Xi_{b}^{0}
      -5232,      -5232,        125,            Xi(b)~0,            anti-Xi_b0,             \bar{\Xi}_{b}^{0}
       5242,       5242,        532,            Xi(bc)+,                Xi_bc+,                  \Xi_{bc}^{+}
      -5242,      -5242,        533,           Xi(bc)~-,           anti-Xi_bc-,            \bar{\Xi}_{bc}^{-}
       5301,       5301,        534,            (bs)(0),                  bs_0,                      (bs)_{0}
      -5301,      -5301,        535,           (bs)(0)~,             anti-bs_0,                (\bar{bs})_{0}
       5303,       5303,        536,            (bs)(1),                  bs_1,                      (bs)_{1}
      -5303,      -5303,        537,           (bs)(1)~,             anti-bs_1,                (\bar{bs})_{1}
       5312,       5312,        116,            Xi(b)'-,                Xi'_b-,            \Xi_{b}^{\prime -}
      -5312,      -5312,        117,           Xi(b)'~+,           anti-Xi'_b+,      \bar{\Xi}_{b}^{\prime +}
       5314,       5314,        538,            Xi(b)*-,                Xi_b*-,                  \Xi_{b}^{*-}
      -5314,      -5314,        539,           Xi(b)*~+,           anti-Xi_b*+,            \bar{\Xi}_{b}^{*+}
       5322,       5322,        118,            Xi(b)'0,                Xi'_b0,            \Xi_{b}^{\prime 0}
      -5322,      -5322,        119,           Xi(b)'~0,           anti-Xi'_b0,      \bar{\Xi}_{b}^{\prime 0}
       5324,       5324,        540,            Xi(b)*0,                Xi_b*0,                  \Xi_{b}^{*0}
      -5324,      -5324,        541,           Xi(b)*~0,           anti-Xi_b*0,            \bar{\Xi}_{b}^{*0}
       5332,       5332,        120,          Omega(b)-,              Omega_b-,                \Omega_{b}^{-}
      -5332,      -5332,        121,         Omega(b)~+,         anti-Omega_b+,          \bar{\Omega}_{b}^{+}
       5334,       5334,        542,         Omega(b)*-,             Omega_b*-,               \Omega_{b}^{*-}
      -5334,      -5334,        543,        Omega(b)*~+,        anti-Omega_b*+,         \bar{\Omega}_{b}^{*+}
       5342,       5342,        544,         Omega(bc)0,             Omega_bc0,               \Omega_{bc}^{0}
      -5342,      -5342,        545,        Omega(bc)~0,        anti-Omega_bc0,         \bar{\Omega}_{bc}^{0}
       5401,       5401,        546,            (bc)(0),                  bc_0,                      (bc)_{0}
      -5401,      -5401,        547,           (bc)(0)~,             anti-bc_0,                (\bar{bc})_{0}
       5403,       5403,        548,            (bc)(1),                  bc_1,                      (bc)_{1}
      -5403,      -5403,        549,           (bc)(1)~,             anti-bc_1,                (\bar{bc})_{1}
       5412,       5412,        550,           Xi(bc)'0,               Xi'_bc0,           \Xi_{bc}^{\prime 0}
      -5412,      -5412,        551,          Xi(bc)'~0,          anti-Xi'_bc0,     \bar{\Xi}_{bc}^{\prime 0}
       5414,       5414,        552,           Xi(bc)*0,               Xi_bc*0,                 \Xi_{bc}^{*0}
      -5414,      -5414,        553,          Xi(bc)*~0,          anti-Xi_bc*0,           \bar{\Xi}_{bc}^{*0}
       5422,       5422,        554,           Xi(bc)'+,               Xi'_bc+,           \Xi_{bc}^{\prime +}
      -5422,      -5422,        555,          Xi(bc)'~-,          anti-Xi'_bc-,     \bar{\Xi}_{bc}^{\prime -}
       5424,       5424,        556,           Xi(bc)*+,               Xi_bc*+,                 \Xi_{bc}^{*+}
      -5424,      -5424,        557,          Xi(bc)*~-,          anti-Xi_bc*-,           \bar{\Xi}_{bc}^{*-}
       5432,       5432,        558,        Omega(bc)'0,            Omega'_bc0,        \Omega_{bc}^{\prime 0}
      -5432,      -5432,        559,       Omega(bc)'~0,       anti-Omega'_bc0,  \bar{\Omega}_{bc}^{\prime 0}
       5434,       5434,        560,        Omega(bc)*0,            Omega_bc*0,              \Omega_{bc}^{*0}
      -5434,      -5434,        561,       Omega(bc)*~0,       anti-Omega_bc*0,        \bar{\Omega}_{bc}^{*0}
       5442,       5442,        562,        Omega(bcc)+,            Omega_bcc+,              \Omega_{bcc}^{+}
      -5442,      -5442,        563,       Omega(bcc)~-,       anti-Omega_bcc-,        \bar{\Omega}_{bcc}^{-}
       5444,       5444,        564,       Omega(bcc)*+,           Omega_bcc*+,             \Omega_{bcc}^{*+}
      -5444,      -5444,        565,      Omega(bcc)*~-,      anti-Omega_bcc*-,       \bar{\Omega}_{bcc}^{*-}
       5503,       5503,        566,            (bb)(1),                  bb_1,                      (bb)_{1}
      -5503,      -5503,        567,           (bb)(1)~,             anti-bb_1,                (\bar{bb})_{1}
       5512,       5512,        568,            Xi(bb)-,                Xi_bb-,                  \Xi_{bb}^{-}
      -5512,      -5512,        569,           Xi(bb)~+,           anti-Xi_bb+,            \bar{\Xi}_{bb}^{+}
       5514,       5514,        570,           Xi(bb)*-,               Xi_bb*-,                 \Xi_{bb}^{*-}
      -5514,      -5514,        571,          Xi(bb)*~+,          anti-Xi_bb*+,           \bar{\Xi}_{bb}^{*+}
       5522,       5522,        572,            Xi(bb)0,                Xi_bb0,                  \Xi_{bb}^{0}
      -5522,      -5522,        573,           Xi(bb)~0,           anti-Xi_bb0,            \bar{\Xi}_{bb}^{0}
       5524,       5524,        574,           Xi(bb)*0,               Xi_bb*0,                 \Xi_{bb}^{*0}
      -5524,      -5524,        575,          Xi(bb)*~0,          anti-Xi_bb*0,           \bar{\Xi}_{bb}^{*0}
       5532,       5532,        576,         Omega(bb)-,             Omega_bb-,               \Omega_{bb}^{-}
      -5532,      -5532,        577,        Omega(bb)~+,        anti-Omega_bb+,         \bar{\Omega}_{bb}^{+}
       5534,       5534,        578,        Omega(bb)*-,            Omega_bb*-,              \Omega_{bb}^{*-}
      -5534,      -5534,        579,       Omega(bb)*~+,       anti-Omega_bb*+,        \bar{\Omega}_{bb}^{*+}
       5542,       5542,        580,        Omega(bbc)0,            Omega_bbc0,              \Omega_{bbc}^{0}
      -5542,      -5542,        581,       Omega(bbc)~0,       anti-Omega_bbc0,        \bar{\Omega}_{bbc}^{0}
       5544,       5544,        582,       Omega(bbc)*0,           Omega_bbc*0,             \Omega_{bbc}^{*0}
      -5544,      -5544,        583,      Omega(bbc)*~0,      anti-Omega_bbc*0,       \bar{\Omega}_{bbc}^{*0}
       5554,       5554,        584,        Omega(bbb)-,            Omega_bbb-,              \Omega_{bbb}^{-}
      -5554,      -5554,        585,       Omega(bbb)~+,       anti-Omega_bbb+,        \bar{\Omega}_{bbb}^{+}
      10022,          0,        586,               vpho,                  vpho,                          vpho
      10111,          0,        587,        a(0)(1450)0,            a_0(1450)0,               a_{0}(1450)^{0}
      10113,      10113,        588,        b(1)(1235)0,                  b_10,               b_{1}(1235)^{0}
      10115,          0,        589,       pi(2)(1670)0,           pi_2(1670)0,             \pi_{2}(1670)^{0}
      10211,          0,        590,        a(0)(1450)+,            a_0(1450)+,               a_{0}(1450)^{+}
     -10211,          0,        591,        a(0)(1450)-,            a_0(1450)-,               a_{0}(1450)^{-}
      10213,      10213,        592,        b(1)(1235)+,                  b_1+,               b_{1}(1235)^{+}
     -10213,     -10213,        593,        b(1)(1235)-,                  b_1-,               b_{1}(1235)^{-}
      10215,          0,        594,       pi(2)(1670)+,           pi_2(1670)+,             \pi_{2}(1670)^{+}
     -10215,          0,        595,       pi(2)(1670)-,           pi_2(1670)-,             \pi_{2}(1670)^{-}
      10221,      10331,        686,         f(0)(1370),                  f'_0,                   f_{0}(1370)
      10223,      10223,        597,         h(1)(1170),                   h_1,                   h_{1}(1170)
      10225,          0,        598,       eta(2)(1645),           eta_2(1645),                \eta_{2}(1645)
      10311,      10311,        149,       K(0)*(1430)0,                 K_0*0,           K_{0}^{*}(1430)^{0}
     -10311,     -10311,        150,      K(0)*(1430)~0,            anti-K_0*0,     \bar{K}_{0}^{*}(1430)^{0}
      10313,      10313,        141,        K(1)(1270)0,                  K_10,               K_{1}(1270)^{0}
     -10313,     -10313,        142,       K(1)(1270)~0,             anti-K_10,         \bar{K}_{1}(1270)^{0}
      10315,          0,        599,        K(2)(1770)0,            K_2(1770)0,               K_{2}(1770)^{0}
     -10315,          0,        600,       K(2)(1770)~0,       anti-K_2(1770)0,         \bar{K}_{2}(1770)^{0}
      10321,      10321,        147,       K(0)*(1430)+,                 K_0*+,           K_{0}^{*}(1430)^{+}
     -10321,     -10321,        148,       K(0)*(1430)-,                 K_0*-,           K_{0}^{*}(1430)^{-}
      10323,      10323,        139,        K(1)(1270)+,                  K_1+,               K_{1}(1270)^{+}
     -10323,     -10323,        140,        K(1)(1270)-,                  K_1-,               K_{1}(1270)^{-}
      10325,          0,        601,        K(2)(1770)+,            K_2(1770)+,               K_{2}(1770)^{+}
     -10325,          0,        602,        K(2)(1770)-,            K_2(1770)-,               K_{2}(1770)^{-}
      10331,          0,        603,         f(0)(1710),             f_0(1710),                   f_{0}(1710)
      10333,      10333,        604,         h(1)(1415),                  h'_1,                   h_{1}(1415)
      10335,          0,        605,       eta(2)(1870),           eta_2(1870),                \eta_{2}(1870)
      10411,      10411,        155,       D(0)*(2300)+,                 D_0*+,           D_{0}^{*}(2300)^{+}
     -10411,     -10411,        159,       D(0)*(2300)-,                 D_0*-,           D_{0}^{*}(2300)^{-}
      10413,      10413,        157,        D(1)(2420)+,                  D_1+,               D_{1}(2420)^{+}
     -10413,     -10413,        161,        D(1)(2420)-,                  D_1-,               D_{1}(2420)^{-}
      10421,      10421,        163,       D(0)*(2300)0,                 D_0*0,           D_{0}^{*}(2300)^{0}
     -10421,     -10421,        167,      D(0)*(2300)~0,            anti-D_0*0,     \bar{D}_{0}^{*}(2300)^{0}
      10423,      10423,        165,        D(1)(2420)0,                  D_10,               D_{1}(2420)^{0}
     -10423,     -10423,        169,       D(1)(2420)~0,             anti-D_10,         \bar{D}_{1}(2420)^{0}
      10431,      10431,        171,      D(s0)*(2317)+,                D_s0*+,          D_{s0}^{*}(2317)^{+}
     -10431,     -10431,        175,      D(s0)*(2317)-,                D_s0*-,          D_{s0}^{*}(2317)^{-}
      10433,      10433,        173,       D(s1)(2536)+,                D'_s1+,              D_{s1}(2536)^{+}
     -10433,     -10433,        177,       D(s1)(2536)-,                D'_s1-,              D_{s1}(2536)^{-}
      10441,      10441,        129,        chi(c0)(1P),                chi_c0,                 \chi_{c0}(1P)
      10443,      10443,        606,           h(c)(1P),                   h_c,                     h_{c}(1P)
      10511,      10511,        201,             B(0)*0,                 B_0*0,                    B_{0}^{*0}
     -10511,     -10511,        205,            B(0)*~0,            anti-B_0*0,              \bar{B}_{0}^{*0}
      10513,      10513,        203,        B(1)(5721)0,                  B_10,               B_{1}(5721)^{0}
     -10513,     -10513,        207,       B(1)(5721)~0,             anti-B_10,         \bar{B}_{1}(5721)^{0}
      10521,      10521,        193,             B(0)*+,                 B_0*+,                    B_{0}^{*+}
     -10521,     -10521,        197,             B(0)*-,                 B_0*-,                    B_{0}^{*-}
      10523,      10523,        195,        B(1)(5721)+,                  B_1+,               B_{1}(5721)^{+}
     -10523,     -10523,        199,        B(1)(5721)-,                  B_1-,               B_{1}(5721)^{-}
      10531,      10531,        209,            B(s0)*0,                B_s0*0,                   B_{s0}^{*0}
     -10531,     -10531,        213,           B(s0)*~0,           anti-B_s0*0,             \bar{B}_{s0}^{*0}
      10533,      10533,        211,          B(s1)(L)0,                 B_s10,                 B_{s1}(L)^{0}
     -10533,     -10533,        215,         B(s1)(L)~0,            anti-B_s10,           \bar{B}_{s1}(L)^{0}
      10541,      10541,        607,            B(c0)*+,                B_c0*+,                   B_{c0}^{*+}
     -10541,     -10541,        608,            B(c0)*-,                B_c0*-,                   B_{c0}^{*-}
      10543,      10543,        609,          B(c1)(L)+,                 B_c1+,                 B_{c1}(L)^{+}
     -10543,     -10543,        610,          B(c1)(L)-,                 B_c1-,                 B_{c1}(L)^{-}
      10551,      10551,        611,        chi(b0)(1P),                chi_b0,                 \chi_{b0}(1P)
      10553,      10553,        612,           h(b)(1P),                   h_b,                     h_{b}(1P)
      10555,      10555,        613,        eta(b2)(1D),            eta_b2(1D),                 \eta_{b2}(1D)
      11112,          0,        614,       Delta(1900)-,          Delta(1900)-,              \Delta(1900)^{-}
     -11112,          0,        615,      Delta(1900)~+,     anti-Delta(1900)+,        \bar{\Delta}(1900)^{+}
      11114,          0,        616,       Delta(1700)-,          Delta(1700)-,              \Delta(1700)^{-}
     -11114,          0,        617,      Delta(1700)~+,     anti-Delta(1700)+,        \bar{\Delta}(1700)^{+}
      11116,          0,        618,       Delta(1930)-,          Delta(1930)-,              \Delta(1930)^{-}
     -11116,          0,        619,      Delta(1930)~+,     anti-Delta(1930)+,        \bar{\Delta}(1930)^{+}
      11212,          0,        620,       Delta(1900)0,          Delta(1900)0,              \Delta(1900)^{0}
     -11212,          0,        621,      Delta(1900)~0,     anti-Delta(1900)0,        \bar{\Delta}(1900)^{0}
      11216,          0,        622,       Delta(1930)0,          Delta(1930)0,              \Delta(1930)^{0}
     -11216,          0,        623,      Delta(1930)~0,     anti-Delta(1930)0,        \bar{\Delta}(1930)^{0}
      12112,          0,        624,           N(1440)0,              N(1440)0,                   N(1440)^{0}
     -12112,          0,        625,          N(1440)~0,         anti-N(1440)0,             \bar{N}(1440)^{0}
      12114,          0,        626,       Delta(1700)0,          Delta(1700)0,              \Delta(1700)^{0}
     -12114,          0,        627,      Delta(1700)~0,     anti-Delta(1700)0,        \bar{\Delta}(1700)^{0}
      12116,          0,        628,           N(1680)0,              N(1680)0,                   N(1680)^{0}
     -12116,          0,        629,          N(1680)~0,         anti-N(1680)0,             \bar{N}(1680)^{0}
      12118,          0,        630,           N(1990)0,              N(1990)0,                   N(1990)^{0}
     -12118,          0,        631,          N(1990)~0,         anti-N(1990)0,             \bar{N}(1990)^{0}
      12122,          0,        632,       Delta(1900)+,          Delta(1900)+,              \Delta(1900)^{+}
     -12122,          0,        633,      Delta(1900)~-,     anti-Delta(1900)-,        \bar{\Delta}(1900)^{-}
      12126,          0,        634,       Delta(1930)+,          Delta(1930)+,              \Delta(1930)^{+}
     -12126,          0,        635,      Delta(1930)~-,     anti-Delta(1930)-,        \bar{\Delta}(1930)^{-}
      12212,          0,        636,           N(1440)+,              N(1440)+,                   N(1440)^{+}
     -12212,          0,        637,          N(1440)~-,         anti-N(1440)-,             \bar{N}(1440)^{-}
      12214,          0,        638,       Delta(1700)+,          Delta(1700)+,              \Delta(1700)^{+}
     -12214,          0,        639,      Delta(1700)~-,     anti-Delta(1700)-,        \bar{\Delta}(1700)^{-}
      12216,          0,        640,           N(1680)+,              N(1680)+,                   N(1680)^{+}
     -12216,          0,        641,          N(1680)~-,         anti-N(1680)-,             \bar{N}(1680)^{-}
      12218,          0,        642,           N(1990)+,              N(1990)+,                   N(1990)^{+}
     -12218,          0,        643,          N(1990)~-,         anti-N(1990)-,             \bar{N}(1990)^{-}
      12222,          0,        644,      Delta(1900)++,         Delta(1900)++,             \Delta(1900)^{++}
     -12222,          0,        645,     Delta(1900)~--,    anti-Delta(1900)--,       \bar{\Delta}(1900)^{--}
      12224,          0,        646,      Delta(1700)++,         Delta(1700)++,             \Delta(1700)^{++}
     -12224,          0,        647,     Delta(1700)~--,    anti-Delta(1700)--,       \bar{\Delta}(1700)^{--}
      12226,          0,        648,      Delta(1930)++,         Delta(1930)++,             \Delta(1930)^{++}
     -12226,          0,        649,     Delta(1930)~--,    anti-Delta(1930)--,       \bar{\Delta}(1930)^{--}
      13112,          0,        650,       Sigma(1660)-,          Sigma(1660)-,              \Sigma(1660)^{-}
     -13112,          0,        651,      Sigma(1660)~+,     anti-Sigma(1660)+,        \bar{\Sigma}(1660)^{+}
      13114,          0,        652,       Sigma(1670)-,          Sigma(1670)-,              \Sigma(1670)^{-}
     -13114,          0,        653,      Sigma(1670)~+,     anti-Sigma(1670)+,        \bar{\Sigma}(1670)^{+}
      13116,          0,        654,       Sigma(1915)-,          Sigma(1915)-,              \Sigma(1915)^{-}
     -13116,          0,        655,      Sigma(1915)~+,     anti-Sigma(1915)+,        \bar{\Sigma}(1915)^{+}
      13122,          0,        656,       Lambda(1405),         Lambda(1405)0,                 \Lambda(1404)
     -13122,          0,        657,      Lambda(1405)~,    anti-Lambda(1405)0,           \bar{\Lambda}(1404)
      13124,          0,        658,       Lambda(1690),         Lambda(1690)0,                 \Lambda(1690)
     -13124,          0,        659,      Lambda(1690)~,    anti-Lambda(1690)0,           \bar{\Lambda}(1690)
      13126,          0,        660,       Lambda(1830),         Lambda(1830)0,                 \Lambda(1830)
     -13126,          0,        661,      Lambda(1830)~,    anti-Lambda(1830)0,           \bar{\Lambda}(1830)
      13212,          0,        662,       Sigma(1660)0,          Sigma(1660)0,              \Sigma(1660)^{0}
     -13212,          0,        663,      Sigma(1660)~0,     anti-Sigma(1660)0,        \bar{\Sigma}(1660)^{0}
      13214,          0,        664,       Sigma(1670)0,          Sigma(1670)0,              \Sigma(1670)^{0}
     -13214,          0,        665,      Sigma(1670)~0,     anti-Sigma(1670)0,        \bar{\Sigma}(1670)^{0}
      13216,          0,        666,       Sigma(1915)0,          Sigma(1915)0,              \Sigma(1915)^{0}
     -13216,          0,        667,      Sigma(1915)~0,     anti-Sigma(1915)0,        \bar{\Sigma}(1915)^{0}
      13222,          0,        668,       Sigma(1660)+,          Sigma(1660)+,              \Sigma(1660)^{+}
     -13222,          0,        669,      Sigma(1660)~-,     anti-Sigma(1660)-,        \bar{\Sigma}(1660)^{-}
      13224,          0,        670,       Sigma(1670)+,          Sigma(1670)+,              \Sigma(1670)^{+}
     -13224,          0,        671,      Sigma(1670)~-,     anti-Sigma(1670)-,        \bar{\Sigma}(1670)^{-}
      13226,          0,        672,       Sigma(1915)+,          Sigma(1915)+,              \Sigma(1915)^{+}
     -13226,          0,        673,      Sigma(1915)~-,     anti-Sigma(1915)-,        \bar{\Sigma}(1915)^{-}
      13314,          0,        674,          Xi(1820)-,             Xi(1820)-,                 \Xi(1820)^{-}
     -13314,          0,        675,         Xi(1820)~+,        anti-Xi(1820)+,           \bar{\Xi}(1820)^{+}
      13324,          0,        678,          Xi(1820)0,             Xi(1820)0,                 \Xi(1820)^{0}
     -13324,          0,        679,         Xi(1820)~0,        anti-Xi(1820)0,           \bar{\Xi}(1820)^{0}
      14122,          0,        682,   Lambda(c)(2595)+,       Lambda_c(2593)+,         \Lambda_{c}(2593)^{+}
     -14122,          0,        683,  Lambda(c)(2595)~-,  anti-Lambda_c(2593)-,   \bar{\Lambda}_{c}(2593)^{-}
      15122,      15122,       1065,   Lambda(b)(5912)0,       Lambda_b(5912)0,         \Lambda_{b}(5912)^{0}
     -15122,     -15122,       1066,  Lambda(b)(5912)~0,  anti-Lambda_b(5912)0,   \bar{\Lambda}_{b}(5912)^{0}
      20022,          0,         50,      opticalphoton,              Cerenkov,                 opticalphoton
      20113,      20113,        135,        a(1)(1260)0,                  a_10,               a_{1}(1260)^{0}
      20213,      20213,         42,        a(1)(1260)+,                  a_1+,               a_{1}(1260)^{+}
     -20213,     -20213,         43,        a(1)(1260)-,                  a_1-,               a_{1}(1260)^{-}
      20223,      20223,        687,         f(1)(1285),                   f_1,                   f_{1}(1285)
      20313,      20313,        145,        K(1)(1400)0,                 K'_10,               K_{1}(1400)^{0}
     -20313,     -20313,        146,       K(1)(1400)~0,            anti-K'_10,         \bar{K}_{1}(1400)^{0}
      20315,          0,        688,        K(2)(1820)0,            K_2(1820)0,               K_{2}(1820)^{0}
     -20315,          0,        689,       K(2)(1820)~0,       anti-K_2(1820)0,         \bar{K}_{2}(1820)^{0}
      20323,      20323,        143,        K(1)(1400)+,                 K'_1+,               K_{1}(1400)^{+}
     -20323,     -20323,        144,        K(1)(1400)-,                 K'_1-,               K_{1}(1400)^{-}
      20325,          0,        690,        K(2)(1820)+,            K_2(1820)+,               K_{2}(1820)^{+}
     -20325,          0,        691,        K(2)(1820)-,            K_2(1820)-,               K_{2}(1820)^{-}
      20333,      20333,        692,         f(1)(1420),                  f'_1,                   f_{1}(1420)
      20413,      20413,        156,           D(1)(H)+,                 D'_1+,                  D_{1}(H)^{+}
     -20413,     -20413,        160,           D(1)(H)-,                 D'_1-,                  D_{1}(H)^{-}
      20423,      20423,        164,        D(1)(2430)0,                 D'_10,               D_{1}(2430)^{0}
     -20423,     -20423,        168,       D(1)(2430)~0,            anti-D'_10,         \bar{D}_{1}(2430)^{0}
      20433,      20433,        172,       D(s1)(2460)+,                 D_s1+,              D_{s1}(2460)^{+}
     -20433,     -20433,        176,       D(s1)(2460)-,                 D_s1-,              D_{s1}(2460)^{-}
      20443,      20443,        130,        chi(c1)(1P),                chi_c1,                 \chi_{c1}(1P)
      20513,      20513,        202,           B(1)(H)0,                 B'_10,                  B_{1}(H)^{0}
     -20513,     -20513,        206,          B(1)(H)~0,            anti-B'_10,            \bar{B}_{1}(H)^{0}
      20523,      20523,        194,           B(1)(H)+,                 B'_1+,                  B_{1}(H)^{+}
     -20523,     -20523,        198,           B(1)(H)-,                 B'_1-,                  B_{1}(H)^{-}
      20533,      20533,        210,          B(s1)(H)0,                B'_s10,                 B_{s1}(H)^{0}
     -20533,     -20533,        214,         B(s1)(H)~0,           anti-B'_s10,           \bar{B}_{s1}(H)^{0}
      20543,      20543,        693,          B(c1)(H)+,                B'_c1+,                 B_{c1}(H)^{+}
     -20543,     -20543,        694,          B(c1)(H)-,                B'_c1-,                 B_{c1}(H)^{-}
      20553,      20553,        695,        chi(b1)(1P),                chi_b1,                 \chi_{b1}(1P)
      20555,      20555,        696,     Upsilon(2)(1D),         Upsilon_2(1D),              \Upsilon_{2}(1D)
      21112,          0,        697,       Delta(1910)-,          Delta(1910)-,              \Delta(1910)^{-}
     -21112,          0,        698,      Delta(1910)~+,     anti-Delta(1910)+,        \bar{\Delta}(1910)^{+}
      21114,          0,        699,       Delta(1920)-,          Delta(1920)-,              \Delta(1920)^{-}
     -21114,          0,        700,      Delta(1920)~+,     anti-Delta(1920)+,        \bar{\Delta}(1920)^{+}
      21212,          0,        701,       Delta(1910)0,          Delta(1910)0,              \Delta(1910)^{0}
     -21212,          0,        702,      Delta(1910)~0,     anti-Delta(1910)0,        \bar{\Delta}(1910)^{0}
      21214,          0,        703,           N(1700)0,              N(1700)0,                   N(1700)^{0}
     -21214,          0,        704,          N(1700)~0,         anti-N(1700)0,             \bar{N}(1700)^{0}
      22112,          0,        705,           N(1535)0,              N(1535)0,              \Delta(1910)^{0}
     -22112,          0,        706,          N(1535)~0,         anti-N(1535)0,        \bar{\Delta}(1910)^{0}
      22114,          0,        707,       Delta(1920)0,          Delta(1920)0,              \Delta(1920)^{0}
     -22114,          0,        708,      Delta(1920)~0,     anti-Delta(1920)0,        \bar{\Delta}(1920)^{0}
      22122,          0,        709,       Delta(1910)+,          Delta(1910)+,              \Delta(1910)^{+}
     -22122,          0,        710,      Delta(1910)~-,     anti-Delta(1910)-,        \bar{\Delta}(1910)^{-}
      22124,          0,        711,           N(1700)+,              N(1700)+,                   N(1700)^{+}
     -22124,          0,        712,          N(1700)~-,         anti-N(1700)-,             \bar{N}(1700)^{-}
      22212,          0,        713,           N(1535)+,              N(1535)+,                   N(1535)^{+}
     -22212,          0,        714,          N(1535)~-,         anti-N(1535)-,             \bar{N}(1535)^{-}
      22214,          0,        715,       Delta(1920)+,          Delta(1920)+,              \Delta(1920)^{+}
     -22214,          0,        716,      Delta(1920)~-,     anti-Delta(1920)-,        \bar{\Delta}(1920)^{-}
      22222,          0,        717,      Delta(1910)++,         Delta(1910)++,             \Delta(1910)^{++}
     -22222,          0,        718,     Delta(1910)~--,    anti-Delta(1910)--,       \bar{\Delta}(1910)^{--}
      22224,          0,        719,      Delta(1920)++,         Delta(1920)++,             \Delta(1920)^{++}
     -22224,          0,        720,     Delta(1920)~--,    anti-Delta(1920)--,       \bar{\Delta}(1920)^{--}
