# (c) Scikit-HEP project - Particle package data file - conversions.csv - version 5 - 2020-03-30
      PDGID,   PYTHIAID,   GEANT3ID,            PDGNAME,            EVTGENNAME,                     LATEXNAME
        221,        221,         17,                eta,                   eta,                          \eta
        223,        223,         36,         omega(782),                 omega,                   \omega(782)
        225,        225,        367,         f(2)(1270),                   f_2,                   f_{2}(1270)
        227,          0,        368,     omega(3)(1670),         omega_3(1670),              \omega_{3}(1670)
        229,          0,        369,         f(4)(2050),             f_4(2050),                   f_{4}(2050)
        310,        310,         16,              K(S)0,                  K_S0,                     K_{S}^{0}
        311,        311,        370,                 K0,                    K0,                         K^{0}
       -311,       -311,        371,                K~0,               anti-K0,                   \bar{K}^{0}
        313,        313,         40,           K*(892)0,                   K*0,                K^{*}(892)^{0}
       -313,       -313,         41,          K*(892)~0,              anti-K*0,          \bar{K}^{*}(892)^{0}
        315,        315,        153,       K(2)*(1430)0,                 K_2*0,           K_{2}^{*}(1430)^{0}
       -315,       -315,        154,      K(2)*(1430)~0,            anti-K_2*0,     \bar{K}_{2}^{*}(1430)^{0}
        317,          0,        372,       K(3)*(1780)0,                 K_3*0,           K_{3}^{*}(1780)^{0}
       -317,          0,        373,      K(3)*(1780)~0,            anti-K_3*0,     \bar{K}_{3}^{*}(1780)^{0}
        319,          0,        374,       K(4)*(2045)0,                 K_4*0,           K_{4}^{*}(2045)^{0}
       -319,          0,        375,      K(4)*(2045)~0,            anti-K_4*0,     \bar{K}_{4}^{*}(2045)^{0}
        321,        321,         11,                 K+,                    K+,                         K^{+}
       -321,       -321,         12,                 K-,                    K-,                         K^{-}
        323,        323,         38,           K*(892)+,                   K*+,                K^{*}(892)^{+}
       -323,       -323,         39,           K*(892)-,                   K*-,                K^{*}(892)^{-}
        325,        325,        151,       K(2)*(1430)+,                 K_2*+,           K_{2}^{*}(1430)^{+}
       -325,       -325,        152,       K(2)*(1430)-,                 K_2*-,           K_{2}^{*}(1430)^{-}
        327,          0,        376,       K(3)*(1780)+,                 K_3*+,           K_{3}^{*}(1780)^{+}
       -327,          0,        377,       K(3)*(1780)-,                 K_3*-,           K_{3}^{*}(1780)^{-}
        329,          0,        378,       K(4)*(2045)+,                 K_4*+,           K_{4}^{*}(2045)^{+}
       -329,          0,        379,       K(4)*(2045)-,                 K_4*-,           K_{4}^{*}(2045)^{-}
        331,        331,        127,          eta'(958),                  eta',              \eta^\prime(958)
        333,        333,         37,          phi(1020),                   phi,                    \phi(1020)
        335,        335,        380,        f(2)'(1525),                  f'_2,            f_{2}^\prime(1525)
        337,          0,        381,       phi(3)(1850),           phi_3(1850),                \phi_{3}(1850)
        350,          0,      99997,             B(sL)0,                 B_s0L,                    B_{sL}^{0}
        411,        411,         56,                 D+,                    D+,                         D^{+}
       -411,       -411,         57,                 D-,                    D-,                         D^{-}
        413,        413,         65,          D*(2010)+,                   D*+,               D^{*}(2010)^{+}
       -413,       -413,         66,          D*(2010)-,                   D*-,               D^{*}(2010)^{-}
        415,        415,        162,       D(2)*(2460)+,                 D_2*+,           D_{2}^{*}(2460)^{+}
       -415,       -415,        158,       D(2)*(2460)-,                 D_2*-,           D_{2}^{*}(2460)^{-}
        421,        421,         58,                 D0,                    D0,                         D^{0}
       -421,       -421,         59,                D~0,               anti-D0,                   \bar{D}^{0}
        423,        423,         67,          D*(2007)0,                   D*0,               D^{*}(2007)^{0}
       -423,       -423,         68,         D*(2007)~0,              anti-D*0,         \bar{D}^{*}(2007)^{0}
        425,        425,        170,       D(2)*(2460)0,                 D_2*0,           D_{2}^{*}(2460)^{0}
       -425,       -425,        166,      D(2)*(2460)~0,            anti-D_2*0,     \bar{D}_{2}^{*}(2460)^{0}
        431,        431,         60,              D(s)+,                  D_s+,                     D_{s}^{+}
       -431,       -431,         61,              D(s)-,                  D_s-,                     D_{s}^{-}
        433,        433,         69,             D(s)*+,                 D_s*+,                    D_{s}^{*+}
       -433,       -433,         70,             D(s)*-,                 D_s*-,                    D_{s}^{*-}
        435,        435,        174,      D(s2)*(2573)+,                D_s2*+,          D_{s2}^{*}(2573)^{+}
       -435,       -435,        178,      D(s2)*(2573)-,                D_s2*-,          D_{s2}^{*}(2573)^{-}
        441,        441,        128,         eta(c)(1S),                 eta_c,                  \eta_{c}(1S)
        443,        443,         64,          J/psi(1S),                 J/psi,                    J/\psi(1S)
        445,        445,        131,        chi(c2)(1P),                chi_c2,                 \chi_{c2}(1P)
        510,          0,      99998,              B(H)0,                   B0H,                     B_{H}^{0}
        511,        511,         73,                 B0,                    B0,                         B^{0}
       -511,       -511,         74,                B~0,               anti-B0,                   \bar{B}^{0}
        513,        513,        189,                B*0,                   B*0,                        B^{*0}
       -513,       -513,        190,               B*~0,              anti-B*0,                  \bar{B}^{*0}
        515,        515,        204,       B(2)*(5747)0,                 B_2*0,           B_{2}^{*}(5747)^{0}
       -515,       -515,        208,      B(2)*(5747)~0,            anti-B_2*0,     \bar{B}_{2}^{*}(5747)^{0}
        521,        521,         71,                 B+,                    B+,                         B^{+}
       -521,       -521,         72,                 B-,                    B-,                         B^{-}
        523,        523,        188,                B*+,                   B*+,                        B^{*+}
       -523,       -523,        187,                B*-,                   B*-,                        B^{*-}
        525,        525,        196,       B(2)*(5747)+,                 B_2*+,           B_{2}^{*}(5747)^{+}
       -525,       -525,        200,       B(2)*(5747)-,                 B_2*-,           B_{2}^{*}(5747)^{-}
        530,          0,      99996,             B(sH)0,                 B_s0H,                    B_{sH}^{0}
        531,        531,         75,              B(s)0,                  B_s0,                     B_{s}^{0}
       -531,       -531,         76,             B(s)~0,             anti-B_s0,               \bar{B}_{s}^{0}
        533,        533,        191,             B(s)*0,                 B_s*0,                    B_{s}^{*0}
       -533,       -533,        192,            B(s)*~0,            anti-B_s*0,              \bar{B}_{s}^{*0}
        535,        535,        212,      B(s2)*(5840)0,                B_s2*0,          B_{s2}^{*}(5840)^{0}
       -535,       -535,        216,     B(s2)*(5840)~0,           anti-B_s2*0,    \bar{B}_{s2}^{*}(5840)^{0}
        541,        541,         77,              B(c)+,                  B_c+,                     B_{c}^{+}
       -541,       -541,         78,              B(c)-,                  B_c-,                     B_{c}^{-}
        543,        543,        382,             B(c)*+,                 B_c*+,                    B_{c}^{*+}
       -543,       -543,        383,             B(c)*-,                 B_c*-,                    B_{c}^{*-}
        545,        545,        384,            B(c2)*+,                B_c2*+,                   B_{c2}^{*+}
       -545,       -545,        385,            B(c2)*-,                B_c2*-,                   B_{c2}^{*-}
        551,        551,        386,         eta(b)(1S),                 eta_b,                  \eta_{b}(1S)
        553,        553,        387,        Upsilon(1S),               Upsilon,                  \Upsilon(1S)
        555,        555,        388,        chi(b2)(1P),                chi_b2,                 \chi_{b2}(1P)
        557,        557,        389,     Upsilon(3)(1D),         Upsilon_3(1D),              \Upsilon_{3}(1D)
       1103,       1103,        394,            (dd)(1),                  dd_1,                      (dd)_{1}
      -1103,      -1103,        395,           (dd)(1)~,             anti-dd_1,                (\bar{dd})_{1}
       1112,          0,        396,       Delta(1620)-,          Delta(1620)-,              \Delta(1620)^{-}
      -1112,          0,        397,      Delta(1620)~+,     anti-Delta(1620)+,        \bar{\Delta}(1620)^{+}
       1114,       1114,        182,       Delta(1232)-,                Delta-,              \Delta(1232)^{-}
      -1114,      -1114,        186,      Delta(1232)~+,           anti-Delta+,        \bar{\Delta}(1232)^{+}
       1116,          0,        398,       Delta(1905)-,          Delta(1905)-,              \Delta(1905)^{-}
      -1116,          0,        399,      Delta(1905)~+,     anti-Delta(1905)+,        \bar{\Delta}(1905)^{+}
       1118,          0,        400,       Delta(1950)-,          Delta(1950)-,              \Delta(1950)^{-}
      -1118,          0,        401,      Delta(1950)~+,     anti-Delta(1950)+,        \bar{\Delta}(1950)^{+}
       1212,          0,        402,       Delta(1620)0,          Delta(1620)0,              \Delta(1620)^{0}
      -1212,          0,        403,      Delta(1620)~0,     anti-Delta(1620)0,        \bar{\Delta}(1620)^{0}
       1214,          0,        404,           N(1520)0,              N(1520)0,                   N(1520)^{0}
      -1214,          0,        405,          N(1520)~0,         anti-N(1520)0,             \bar{N}(1520)^{0}
       1216,          0,        406,       Delta(1905)0,          Delta(1905)0,              \Delta(1905)^{0}
      -1216,          0,        407,      Delta(1905)~0,     anti-Delta(1905)0,        \bar{\Delta}(1905)^{0}
       1218,          0,        408,           N(2190)0,              N(2190)0,                   N(2190)^{0}
      -1218,          0,        409,          N(2190)~0,         anti-N(2190)0,             \bar{N}(2190)^{0}
       2101,       2101,        410,            (ud)(0),                  ud_0,                      (ud)_{0}
      -2101,      -2101,        411,           (ud)(0)~,             anti-ud_0,                (\bar{ud})_{0}
       2103,       2103,        412,            (ud)(1),                  ud_1,                      (ud)_{1}
      -2103,      -2103,        413,           (ud)(1)~,             anti-ud_1,                (\bar{ud})_{1}
       2112,       2112,         13,                  n,                    n0,                             n
      -2112,      -2112,         25,                 n~,               anti-n0,                       \bar{n}
       2114,       2114,        181,       Delta(1232)0,                Delta0,              \Delta(1232)^{0}
      -2114,      -2114,        185,      Delta(1232)~0,           anti-Delta0,        \bar{\Delta}(1232)^{0}
       2116,          0,        414,           N(1675)0,              N(1675)0,                   N(1675)^{0}
      -2116,          0,        415,          N(1675)~0,         anti-N(1675)0,             \bar{N}(1675)^{0}
       2118,          0,        416,       Delta(1950)0,          Delta(1950)0,              \Delta(1950)^{0}
      -2118,          0,        417,      Delta(1950)~0,     anti-Delta(1950)0,        \bar{\Delta}(1950)^{0}
       2122,          0,        418,       Delta(1620)+,          Delta(1620)+,              \Delta(1620)^{+}
      -2122,          0,        419,      Delta(1620)~-,     anti-Delta(1620)-,        \bar{\Delta}(1620)^{-}
       2124,          0,        420,           N(1520)+,              N(1520)+,                   N(1520)^{+}
      -2124,          0,        421,          N(1520)~-,         anti-N(1520)-,             \bar{N}(1520)^{-}
       2126,          0,        422,       Delta(1905)+,          Delta(1905)+,              \Delta(1905)^{+}
      -2126,          0,        423,      Delta(1905)~-,     anti-Delta(1905)-,        \bar{\Delta}(1905)^{-}
       2128,          0,        424,           N(2190)+,              N(2190)+,                   N(2190)^{+}
      -2128,          0,        425,          N(2190)~-,         anti-N(2190)-,             \bar{N}(2190)^{-}
       2203,       2203,        426,            (uu)(1),                  uu_1,                      (uu)_{1}
      -2203,      -2203,        427,           (uu)(1)~,             anti-uu_1,                (\bar{uu})_{1}
       2212,       2212,         14,                  p,                    p+,                             p
      -2212,      -2212,         15,                 p~,               anti-p-,                       \bar{p}
       2214,       2214,        180,       Delta(1232)+,                Delta+,              \Delta(1232)^{+}
      -2214,      -2214,        184,      Delta(1232)~-,           anti-Delta-,        \bar{\Delta}(1232)^{-}
       2216,          0,        428,           N(1675)+,              N(1675)+,                   N(1675)^{+}
      -2216,          0,        429,          N(1675)~-,         anti-N(1675)-,             \bar{N}(1675)^{-}
       2218,          0,        430,       Delta(1950)+,          Delta(1950)+,              \Delta(1950)^{+}
      -2218,          0,        431,      Delta(1950)~-,     anti-Delta(1950)-,        \bar{\Delta}(1950)^{-}
       2222,          0,        432,      Delta(1620)++,         Delta(1620)++,             \Delta(1620)^{++}
      -2222,          0,        433,     Delta(1620)~--,    anti-Delta(1620)--,       \bar{\Delta}(1620)^{--}
       2224,       2224,        179,      Delta(1232)++,               Delta++,             \Delta(1232)^{++}
      -2224,      -2224,        183,     Delta(1232)~--,          anti-Delta--,       \bar{\Delta}(1232)^{--}
       2226,          0,        434,      Delta(1905)++,         Delta(1905)++,             \Delta(1905)^{++}
      -2226,          0,        435,     Delta(1905)~--,    anti-Delta(1905)--,       \bar{\Delta}(1905)^{--}
       2228,          0,        436,      Delta(1950)++,         Delta(1950)++,             \Delta(1950)^{++}
      -2228,          0,        437,     Delta(1950)~--,    anti-Delta(1950)--,       \bar{\Delta}(1950)^{--}
       3101,       3101,        438,            (sd)(0),                  sd_0,                      (sd)_{0}
      -3101,      -3101,        439,           (sd)(0)~,             anti-sd_0,                (\bar{sd})_{0}
       3103,       3103,        440,            (sd)(1),                  sd_1,                      (sd)_{1}
      -3103,      -3103,        441,           (sd)(1)~,             anti-sd_1,                (\bar{sd})_{1}
       3112,       3112,         21,             Sigma-,                Sigma-,                    \Sigma^{-}
      -3112,      -3112,         29,            Sigma~+,           anti-Sigma+,              \bar{\Sigma}^{+}
       3114,       3114,        442,       Sigma(1385)-,               Sigma*-,              \Sigma(1385)^{-}
      -3114,      -3114,        443,      Sigma(1385)~+,          anti-Sigma*+,        \bar{\Sigma}(1385)^{+}
       3116,          0,        444,       Sigma(1775)-,          Sigma(1775)-,              \Sigma(1775)^{-}
      -3116,          0,        445,      Sigma(1775)~+,     anti-Sigma(1775)+,        \bar{\Sigma}(1775)^{+}
       3118,          0,        446,       Sigma(2030)-,          Sigma(2030)-,              \Sigma(2030)^{-}
      -3118,          0,        447,      Sigma(2030)~+,     anti-Sigma(2030)+,        \bar{\Sigma}(2030)^{+}
       3122,       3122,         18,             Lambda,               Lambda0,                       \Lambda
      -3122,      -3122,         26,            Lambda~,          anti-Lambda0,                 \bar{\Lambda}
       3124,          0,        448,       Lambda(1520),         Lambda(1520)0,                 \Lambda(1520)
      -3124,          0,        449,      Lambda(1520)~,    anti-Lambda(1520)0,           \bar{\Lambda}(1520)
       3126,          0,        450,       Lambda(1820),         Lambda(1820)0,                 \Lambda(1820)
      -3126,          0,        451,      Lambda(1820)~,    anti-Lambda(1820)0,           \bar{\Lambda}(1820)
       3128,          0,        452,       Lambda(2100),         Lambda(2100)0,                 \Lambda(2100)
      -3128,          0,        453,      Lambda(2100)~,    anti-Lambda(2100)0,           \bar{\Lambda}(2100)
       3201,       3201,        454,            (su)(0),                  su_0,                      (su)_{0}
      -3201,      -3201,        455,           (su)(0)~,             anti-su_0,                (\bar{su})_{0}
       3203,       3203,        456,            (su)(1),                  su_1,                      (su)_{1}
      -3203,      -3203,        457,           (su)(1)~,             anti-su_1,                (\bar{su})_{1}
       3212,       3212,         20,             Sigma0,                Sigma0,                    \Sigma^{0}
      -3212,      -3212,         28,            Sigma~0,           anti-Sigma0,              \bar{\Sigma}^{0}
       3214,       3214,        458,       Sigma(1385)0,               Sigma*0,              \Sigma(1385)^{0}
      -3214,      -3214,        459,      Sigma(1385)~0,          anti-Sigma*0,        \bar{\Sigma}(1385)^{0}
       3216,          0,        460,       Sigma(1775)0,          Sigma(1775)0,              \Sigma(1775)^{0}
      -3216,          0,        461,      Sigma(1775)~0,     anti-Sigma(1775)0,        \bar{\Sigma}(1775)^{0}
       3218,          0,        462,       Sigma(2030)0,          Sigma(2030)0,              \Sigma(2030)^{0}
      -3218,          0,        463,      Sigma(2030)~0,     anti-Sigma(2030)0,        \bar{\Sigma}(2030)^{0}
       3222,       3222,         19,             Sigma+,                Sigma+,                    \Sigma^{+}
      -3222,      -3222,         27,            Sigma~-,           anti-Sigma-,              \bar{\Sigma}^{-}
       3224,       3224,        464,       Sigma(1385)+,               Sigma*+,              \Sigma(1385)^{+}
      -3224,      -3224,        465,      Sigma(1385)~-,          anti-Sigma*-,        \bar{\Sigma}(1385)^{-}
       3226,          0,        466,       Sigma(1775)+,          Sigma(1775)+,              \Sigma(1775)^{+}
      -3226,          0,        467,      Sigma(1775)~-,     anti-Sigma(1775)-,        \bar{\Sigma}(1775)^{-}
       3228,          0,        468,       Sigma(2030)+,          Sigma(2030)+,              \Sigma(2030)^{+}
      -3228,          0,        469,      Sigma(2030)~-,     anti-Sigma(2030)-,        \bar{\Sigma}(2030)^{-}
       3303,       3303,        470,            (ss)(1),                  ss_1,                      (ss)_{1}
      -3303,      -3303,        471,           (ss)(1)~,             anti-ss_1,                (\bar{ss})_{1}
       3312,       3312,         23,                Xi-,                   Xi-,                       \Xi^{-}
      -3312,      -3312,         31,               Xi~+,              anti-Xi+,                 \bar{\Xi}^{+}
       3314,       3314,        472,          Xi(1530)-,                  Xi*-,                 \Xi(1530)^{-}
      -3314,      -3314,        473,         Xi(1530)~+,             anti-Xi*+,           \bar{\Xi}(1530)^{+}
       3322,       3322,         22,                Xi0,                   Xi0,                       \Xi^{0}
      -3322,      -3322,         30,               Xi~0,              anti-Xi0,                 \bar{\Xi}^{0}
       3324,       3324,        474,          Xi(1530)0,                  Xi*0,                 \Xi(1530)^{0}
      -3324,      -3324,        475,         Xi(1530)~0,             anti-Xi*0,           \bar{\Xi}(1530)^{0}
       3334,       3334,         24,             Omega-,                Omega-,                    \Omega^{-}
      -3334,      -3334,         32,            Omega~+,           anti-Omega+,              \bar{\Omega}^{+}
       4101,       4101,        476,            (cd)(0),                  cd_0,                      (cd)_{0}
      -4101,      -4101,        477,           (cd)(0)~,             anti-cd_0,                (\bar{cd})_{0}
       4103,       4103,        478,            (cd)(1),                  cd_1,                      (cd)_{1}
      -4103,      -4103,        479,           (cd)(1)~,             anti-cd_1,                (\bar{cd})_{1}
       4112,       4112,         81,    Sigma(c)(2455)0,              Sigma_c0,                \Sigma_{c}^{0}
      -4112,      -4112,         82,   Sigma(c)(2455)~0,         anti-Sigma_c0,          \bar{\Sigma}_{c}^{0}
       4114,       4114,        480,    Sigma(c)(2520)0,             Sigma_c*0,          \Sigma_{c}(2520)^{0}
      -4114,      -4114,        481,   Sigma(c)(2520)~0,        anti-Sigma_c*0,    \bar{\Sigma}_{c}(2520)^{0}
       4122,       4122,         62,         Lambda(c)+,             Lambda_c+,               \Lambda_{c}^{+}
      -4122,      -4122,         63,        Lambda(c)~-,        anti-Lambda_c-,         \bar{\Lambda}_{c}^{-}
       4132,       4132,        106,             Xi(c)0,                 Xi_c0,                   \Xi_{c}^{0}
      -4132,      -4132,        107,            Xi(c)~0,            anti-Xi_c0,             \bar{\Xi}_{c}^{0}
       4201,       4201,        482,            (cu)(0),                  cu_0,                      (cu)_{0}
      -4201,      -4201,        483,           (cu)(0)~,             anti-cu_0,                (\bar{cu})_{0}
       4203,       4203,        484,            (cu)(1),                  cu_1,                      (cu)_{1}
      -4203,      -4203,        485,           (cu)(1)~,             anti-cu_1,                (\bar{cu})_{1}
       4212,       4212,         83,    Sigma(c)(2455)+,              Sigma_c+,          \Sigma_{c}(2455)^{+}
