# (c) Scikit-HEP project - Particle package data file - pdgid_to_evtgenname.csv - version 13 - 2023-07-03
PDGID,STR
-4332,anti-Omega_c0
4334,Omega_c*0
-4334,anti-Omega_c*0
4403,cc_1
-4403,anti-cc_1
4412,Xi_cc+
-4412,anti-Xi_cc-
4414,Xi_cc*+
-4414,anti-Xi_cc*-
4422,Xi_cc++
-4422,anti-Xi_cc--
4424,Xi_cc*++
-4424,anti-Xi_cc*--
4432,Omega_cc+
-4432,anti-Omega_cc-
4434,Omega_cc*+
-4434,anti-Omega_cc*-
4444,Omega_ccc*++
-4444,anti-Omega_ccc*--
5101,bd_0
-5101,anti-bd_0
5103,bd_1
-5103,anti-bd_1
5112,Sigma_b-
-5112,anti-Sigma_b+
5114,Sigma_b*-
-5114,anti-Sigma_b*+
5122,Lambda_b0
-5122,anti-Lambda_b0
5124,Lambda_b(5920)0
-5124,anti-Lambda_b(5920)0
5132,Xi_b-
-5132,anti-Xi_b+
5142,Xi_bc0
-5142,anti-Xi_bc0
5201,bu_0
-5201,anti-bu_0
5203,bu_1
-5203,anti-bu_1
5212,Sigma_b0
-5212,anti-Sigma_b0
5214,Sigma_b*0
-5214,anti-Sigma_b*0
5222,Sigma_b+
-5222,anti-Sigma_b-
5224,Sigma_b*+
-5224,anti-Sigma_b*-
5232,Xi_b0
-5232,anti-Xi_b0
5242,Xi_bc+
-5242,anti-Xi_bc-
5301,bs_0
-5301,anti-bs_0
5303,bs_1
-5303,anti-bs_1
5312,Xi'_b-
-5312,anti-Xi'_b+
5314,Xi_b*-
-5314,anti-Xi_b*+
5322,Xi'_b0
-5322,anti-Xi'_b0
5324,Xi_b*0
-5324,anti-Xi_b*0
5332,Omega_b-
-5332,anti-Omega_b+
5334,Omega_b*-
-5334,anti-Omega_b*+
5342,Omega_bc0
-5342,anti-Omega_bc0
5401,bc_0
-5401,anti-bc_0
5403,bc_1
-5403,anti-bc_1
5412,Xi'_bc0
-5412,anti-Xi'_bc0
5414,Xi_bc*0
-5414,anti-Xi_bc*0
5422,Xi'_bc+
-5422,anti-Xi'_bc-
5424,Xi_bc*+
-5424,anti-Xi_bc*-
5432,Omega'_bc0
-5432,anti-Omega'_bc0
5434,Omega_bc*0
-5434,anti-Omega_bc*0
5442,Omega_bcc+
-5442,anti-Omega_bcc-
5444,Omega_bcc*+
-5444,anti-Omega_bcc*-
5503,bb_1
-5503,anti-bb_1
5512,Xi_bb-
-5512,anti-Xi_bb+
5514,Xi_bb*-
-5514,anti-Xi_bb*+
5522,Xi_bb0
-5522,anti-Xi_bb0
5524,Xi_bb*0
-5524,anti-Xi_bb*0
5532,Omega_bb-
-5532,anti-Omega_bb+
5534,Omega_bb*-
-5534,anti-Omega_bb*+
5542,Omega_bbc0
-5542,anti-Omega_bbc0
5544,Omega_bbc*0
-5544,anti-Omega_bbc*0
5554,Omega_bbb-
-5554,anti-Omega_bbb+
10022,vpho
10111,a_0(1450)0
10113,b_10
10115,pi_2(1670)0
10211,a_0(1450)+
-10211,a_0(1450)-
10213,b_1+
-10213,b_1-
10215,pi_2(1670)+
-10215,pi_2(1670)-
10221,f'_0
10223,h_1
10225,eta_2(1645)
10311,K_0*0
-10311,anti-K_0*0
10313,K_10
-10313,anti-K_10
10315,K_2(1770)0
-10315,anti-K_2(1770)0
10321,K_0*+
-10321,K_0*-
10323,K_1+
-10323,K_1-
10325,K_2(1770)+
-10325,K_2(1770)-
10331,f_0(1710)
10333,h'_1
10335,eta_2(1870)
10411,D_0*+
-10411,D_0*-
10413,D_1+
-10413,D_1-
10421,D_0*0
-10421,anti-D_0*0
10423,D_10
-10423,anti-D_10
10431,D_s0*+
-10431,D_s0*-
10433,D'_s1+
-10433,D'_s1-
10441,chi_c0
10443,h_c
10511,B_0*0
-10511,anti-B_0*0
10513,B_10
-10513,anti-B_10
10521,B_0*+
-10521,B_0*-
10523,B_1+
-10523,B_1-
10531,B_s0*0
-10531,anti-B_s0*0
10533,B_s10
-10533,anti-B_s10
10541,B_c0*+
-10541,B_c0*-
10543,B_c1+
-10543,B_c1-
10551,chi_b0
10553,h_b
10555,eta_b2(1D)
11112,Delta(1900)-
-11112,anti-Delta(1900)+
11114,Delta(1700)-
-11114,anti-Delta(1700)+
11116,Delta(1930)-
-11116,anti-Delta(1930)+
11212,Delta(1900)0
-11212,anti-Delta(1900)0
11216,Delta(1930)0
-11216,anti-Delta(1930)0
12112,N(1440)0
-12112,anti-N(1440)0
12114,Delta(1700)0
-12114,anti-Delta(1700)0
12116,N(1680)0
-12116,anti-N(1680)0
12118,N(1990)0
-12118,anti-N(1990)0
12122,Delta(1900)+
-12122,anti-Delta(1900)-
12126,Delta(1930)+
-12126,anti-Delta(1930)-
12212,N(1440)+
-12212,anti-N(1440)-
12214,Delta(1700)+
-12214,anti-Delta(1700)-
12216,N(1680)+
-12216,anti-N(1680)-
12218,N(1990)+
-12218,anti-N(1990)-
12222,Delta(1900)++
-12222,anti-Delta(1900)--
12224,Delta(1700)++
-12224,anti-Delta(1700)--
12226,Delta(1930)++
-12226,anti-Delta(1930)--
13112,Sigma(1660)-
-13112,anti-Sigma(1660)+
13114,Sigma(1670)-
-13114,anti-Sigma(1670)+
13116,Sigma(1915)-
-13116,anti-Sigma(1915)+
13122,Lambda(1405)0
-13122,anti-Lambda(1405)0
13124,Lambda(1690)0
-13124,anti-Lambda(1690)0
13126,Lambda(1830)0
-13126,anti-Lambda(1830)0
13212,Sigma(1660)0
-13212,anti-Sigma(1660)0
13214,Sigma(1670)0
-13214,anti-Sigma(1670)0
13216,Sigma(1915)0
-13216,anti-Sigma(1915)0
13222,Sigma(1660)+
-13222,anti-Sigma(1660)-
13224,Sigma(1670)+
-13224,anti-Sigma(1670)-
13226,Sigma(1915)+
-13226,anti-Sigma(1915)-
13314,Xi(1820)-
-13314,anti-Xi(1820)+
13324,Xi(1820)0
-13324,anti-Xi(1820)0
14122,Lambda_c(2593)+
-14122,anti-Lambda_c(2593)-
15122,Lambda_b(5912)0
-15122,anti-Lambda_b(5912)0
20022,Cerenkov
20113,a_10
20213,a_1+
-20213,a_1-
20223,f_1
20313,K'_10
-20313,anti-K'_10
20315,K_2(1820)0
-20315,anti-K_2(1820)0
20323,K'_1+
-20323,K'_1-
20325,K_2(1820)+
-20325,K_2(1820)-
20333,f'_1
20413,D'_1+
-20413,D'_1-
20423,D'_10
-20423,anti-D'_10
20433,D_s1+
-20433,D_s1-
20443,chi_c1
20513,B'_10
-20513,anti-B'_10
20523,B'_1+
-20523,B'_1-
20533,B'_s10
-20533,anti-B'_s10
20543,B'_c1+
-20543,B'_c1-
20553,chi_b1
20555,Upsilon_2(1D)
21112,Delta(1910)-
-21112,anti-Delta(1910)+
21114,Delta(1920)-
-21114,anti-Delta(1920)+
21212,Delta(1910)0
-21212,anti-Delta(1910)0
21214,N(1700)0
-21214,anti-N(1700)0
22112,N(1535)0
-22112,anti-N(1535)0
22114,Delta(1920)0
-22114,anti-Delta(1920)0
22122,Delta(1910)+
-22122,anti-Delta(1910)-
22124,N(1700)+
-22124,anti-N(1700)-
22212,N(1535)+
-22212,anti-N(1535)-
22214,Delta(1920)+
-22214,anti-Delta(1920)-
22222,Delta(1910)++
-22222,anti-Delta(1910)--
22224,Delta(1920)++
-22224,anti-Delta(1920)--
23112,Sigma(1750)-
-23112,anti-Sigma(1750)+
23114,Sigma(1940)-
-23114,anti-Sigma(1940)+
23122,Lambda(1600)0
-23122,anti-Lambda(1600)0
23124,Lambda(1890)0
-23124,anti-Lambda(1890)0
23126,Lambda(2110)0
-23126,anti-Lambda(2110)0
23212,Sigma(1750)0
-23212,anti-Sigma(1750)0
23214,Sigma(1940)0
-23214,anti-Sigma(1940)0
23222,Sigma(1750)+
-23222,anti-Sigma(1750)-
23224,Sigma(1940)+
-23224,anti-Sigma(1940)-
30113,rho(3S)0
30213,rho(3S)+
-30213,rho(3S)-
30223,omega(1650)
30313,K''*0
-30313,anti-K''*0
30323,K''*+
-30323,K''*-
30343,Xsd
-30343,anti-Xsd
30353,Xsu
-30353,anti-Xsu
30363,Xss
-30363,anti-Xss
30443,psi(3770)
30553,Upsilon_1(1D)
31114,Delta(1600)-
-31114,anti-Delta(1600)+
31214,N(1720)0
-31214,anti-N(1720)0
32112,N(1650)0
-32112,anti-N(1650)0
32114,Delta(1600)0
-32114,anti-Delta(1600)0
32124,N(1720)+
-32124,anti-N(1720)-
32212,N(1650)+
-32212,anti-N(1650)-
32214,Delta(1600)+
-32214,anti-Delta(1600)-
32224,Delta(1600)++
-32224,anti-Delta(1600)--
33122,Lambda(1670)0
-33122,anti-Lambda(1670)0
41214,N(1900)0
-41214,anti-N(1900)0
42112,N(1710)0
-42112,anti-N(1710)0
42124,N(1900)+
-42124,anti-N(1900)-
42212,N(1710)+
-42212,anti-N(1710)-
43122,Lambda(1800)0
-43122,anti-Lambda(1800)0
52114,N(2090)0
-52114,anti-N(2090)0
52214,N(2090)+
-52214,anti-N(2090)-
53122,Lambda(1810)0
-53122,anti-Lambda(1810)0
100111,pi(2S)0
100113,rho(2S)0
100211,pi(2S)+
-100211,pi(2S)-
100213,rho(2S)+
-100213,rho(2S)-
100221,eta(2S)
100223,omega(2S)
100311,K(1460)0
-100311,anti-K(1460)0
100313,K'*0
-100313,anti-K'*0
100321,K(1460)+
-100321,K(1460)-
100323,K'*+
-100323,K'*-
100331,eta(1475)
100333,phi(1680)
100411,D(2S)+
-100411,D(2S)-
100413,D*(2S)+
-100413,D*(2S)-
100421,D(2S)0
-100421,anti-D(2S)0
100423,D*(2S)0
-100423,anti-D*(2S)0
100441,eta_c(2S)
100443,psi(2S)
100445,chi_c2(2P)
100551,eta_b(2S)
100553,Upsilon(2S)
100555,chi_b2(2P)
100557,Upsilon_3(2D)
103112,Sigma(2250)-
-103112,anti-Sigma(2250)+
103212,Sigma(2250)0
-103212,anti-Sigma(2250)0
103222,Sigma(2250)+
-103222,anti-Sigma(2250)-
103316,Xi(1950)-
-103316,anti-Xi(1950)+
103326,Xi(1950)0
-103326,anti-Xi(1950)0
104122,Lambda_c(2625)+
-104122,anti-Lambda_c(2625)-
104312,Xi_c(2815)0
-104312,anti-Xi_c(2815)0
104314,Xi_c(2790)0
-104314,anti-Xi_c(2790)0
104322,Xi_c(2815)+
-104322,anti-Xi_c(2815)-
104324,Xi_c(2790)+
-104324,anti-Xi_c(2790)-
110551,chi_b0(2P)
110553,h_b(2P)
110555,eta_b2(2D)
120553,chi_b1(2P)
120555,Upsilon_2(2D)
130553,Upsilon_1(2D)
200551,eta_b(3S)
200553,Upsilon(3S)
200555,chi_b2(3P)
203312,Xi(1690)-
-203312,anti-Xi(1690)+
203316,Xi(2030)-
-203316,anti-Xi(2030)+
203322,Xi(1690)0
-203322,anti-Xi(1690)0
203326,Xi(2030)0
-203326,anti-Xi(2030)0
203338,Omega(2250)-
-203338,anti-Omega(2250)+
204126,Lambda_c(2880)+
-204126,anti-Lambda_c(2880)-
210551,chi_b0(3P)
210553,h_b(3P)
220553,chi_b1(3P)
300553,Upsilon(4S)
9000111,a_00
9000113,pi_1(1400)0
9000115,a_2(1700)0
9000211,a_0+
-9000211,a_0-
9000213,pi_1(1400)+
-9000213,pi_1(1400)-
9000215,a_2(1700)+
-9000215,a_2(1700)-
9000221,sigma_0
9000443,psi(4040)
9000553,Upsilon(5S)
9010111,pi(1800)0
9010113,pi_1(1600)0
9010211,pi(1800)+
-9010211,pi(1800)-
9010213,pi_1(1600)+
-9010213,pi_1(1600)-
9010221,f_0
9010315,K_2*(1980)0
-9010315,anti-K_2*(1980)0
9010325,K_2*(1980)+
-9010325,K_2*(1980)-
9010443,psi(4160)
9010553,Upsilon(11020)
9020221,eta(1405)
9020443,psi(4415)
9030221,f_0(1500)
9042413,Z(4430)+
-9042413,Z(4430)-
9050225,f_2(1950)
9060225,f_2(2010)
9080225,f_2(2300)
9090225,f_2(2340)
9910445,X_2(3872)
9920443,X_1(3872)
480000000,geantino
1000010020,deuteron
-1000010020,anti-deuteron
1000010030,triton
-1000010030,anti-triton
-1000020030,anti-He3
1000020030,He3
-1000020040,anti-alpha
1000020040,alpha
