# (c) Scikit-HEP project - Particle package data file - pdgid_to_latexname.csv - version 13 - 2023-07-03
PDGID,LATEXNAME
5444,\Omega_{bcc}^{*+}
5503,(bb)_{1}
5512,\Xi_{bb}^{-}
5514,\Xi_{bb}^{*-}
5522,\Xi_{bb}^{0}
5524,\Xi_{bb}^{*0}
5532,\Omega_{bb}^{-}
5534,\Omega_{bb}^{*-}
5542,\Omega_{bbc}^{0}
5544,\Omega_{bbc}^{*0}
5554,\Omega_{bbb}^{-}
10022,vpho
10111,a_{0}(1450)^{0}
10113,b_{1}(1235)^{0}
10115,\pi_{2}(1670)^{0}
10211,a_{0}(1450)^{+}
10213,b_{1}(1235)^{+}
10215,\pi_{2}(1670)^{+}
10221,f_{0}(1370)
10223,h_{1}(1170)
10225,\eta_{2}(1645)
10311,K_{0}^{*}(1430)^{0}
10313,K_{1}(1270)^{0}
10315,K_{2}(1770)^{0}
10321,K_{0}^{*}(1430)^{+}
10323,K_{1}(1270)^{+}
10325,K_{2}(1770)^{+}
10331,f_{0}(1710)
10333,h_{1}(1415)
10335,\eta_{2}(1870)
10411,D_{0}^{*}(2300)^{+}
10413,D_{1}(2420)^{+}
10421,D_{0}^{*}(2300)^{0}
10423,D_{1}(2420)^{0}
10431,D_{s0}^{*}(2317)^{+}
10433,D_{s1}(2536)^{+}
10441,\chi_{c0}(1P)
10443,h_{c}(1P)
10511,B_{0}^{*0}
10513,B_{1}(5721)^{0}
10521,B_{0}^{*+}
10523,B_{1}(5721)^{+}
10531,B_{s0}^{*0}
10533,B_{s1}(L)^{0}
10541,B_{c0}^{*+}
10543,B_{c1}(L)^{+}
10551,\chi_{b0}(1P)
10553,h_{b}(1P)
10555,\eta_{b2}(1D)
11112,\Delta(1900)^{-}
11114,\Delta(1700)^{-}
11116,\Delta(1930)^{-}
11212,\Delta(1900)^{0}
11216,\Delta(1930)^{0}
12112,N(1440)^{0}
12114,\Delta(1700)^{0}
12116,N(1680)^{0}
12118,N(1990)^{0}
12122,\Delta(1900)^{+}
12126,\Delta(1930)^{+}
12212,N(1440)^{+}
12214,\Delta(1700)^{+}
